1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.500239772         	 Mg2SiO4              : -4.7301776439        	 SiO                  : -4.9400478573        	 Ni                   : -5.7816465144        	 MgAl2O4              : -5.851032475         0.1322799576451458 AU
Fe                   : -4.5002069776        	 Mg2SiO4              : -4.7299746518        	 SiO                  : -4.9399558655        	 Ni                   : -5.7814060978        	 MgAl2O4              : -5.8510320362        0.1332405986800064 AU
Fe                   : -4.500178486         	 Mg2SiO4              : -4.729814197         	 SiO                  : -4.9398529052        	 Ni                   : -5.7811995885        	 MgAl2O4              : -5.8510316731        0.13420821615477987 AU
Fe                   : -4.5001537576        	 Mg2SiO4              : -4.705735821         	 SiO                  : -5.0446754833        	 Ni                   : -5.7810223774        	 CaAl2Si2O8           : -5.8510313275        0.13518286063779247 AU
Fe                   : -4.5001323187        	 Mg2SiO4              : -4.7056398152        	 SiO                  : -5.0445416989        	 Ni                   : -5.7808704581        	 CaAl2Si2O8           : -5.8510310149        0.13616458309586654 AU
Fe                   : -4.5001137506        	 Mg2SiO4              : -4.7055643574        	 SiO                  : -5.0444112333        	 Ni                   : -5.7807403519        	 CaAl2Si2O8           : -5.8510307742        0.13715343514875916 AU
Fe                   : -4.5000976857        	 Mg2SiO4              : -4.7098179821        	 SiO                  : -5.0733168385        	 Ni                   : -5.7806290401        	 CaAl2Si2O8           : -5.8510305996        0.13814946832788574 AU
Fe                   : -4.5000838013        	 Mg2SiO4              : -4.7097709792        	 SiO                  : -5.0731928366        	 Ni                   : -5.7805339057        	 CaAl2Si2O8           : -5.8510304715        0.1391527348192599 AU
Fe                   : -4.5000718143        	 Mg2SiO4              : -4.7097342429        	 SiO                  : -5.0730783629        	 Ni                   : -5.780452682         	 CaAl2Si2O8           : -5.85103037          0.14016328722324733 AU
Fe                   : -4.5000614765        	 Mg2SiO4              : -4.7097055845        	 SiO                  : -5.0729738994        	 Ni                   : -5.7803834079        	 CaAl2Si2O8           : -5.8510302897        0.1411811785586292 AU
Fe                   : -4.5000525704        	 Mg2SiO4              : -4.7096832697        	 SiO                  : -5.0728794813        	 Ni                   : -5.780324388         	 CaAl2Si2O8           : -5.8510302263        0.14220646186633962 AU
Fe                   : -4.5000449062        	 Mg2SiO4              : -4.7096659269        	 SiO                  : -5.0727948329        	 Ni                   : -5.7802741581        	 CaAl2Si2O8           : -5.8510301762        0.14323919113419084 AU
Fe                   : -4.5000383179        	 Mg2SiO4              : -4.7096524737        	 SiO                  : -5.0727194713        	 Ni                   : -5.7802314551        	 CaAl2Si2O8           : -5.8510301368        0.14427942010294847 AU
Fe                   : -4.5000326606        	 Mg2SiO4              : -4.7096420575        	 SiO                  : -5.0726527848        	 Ni                   : -5.7801951907        	 CaAl2Si2O8           : -5.8510301059        0.14532720347476188 AU
Fe                   : -4.5000278082        	 Mg2SiO4              : -4.7096340079        	 SiO                  : -5.0725940907        	 Ni                   : -5.7801644277        	 CaAl2Si2O8           : -5.8510300816        0.14638259610952836 AU
