1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5064989785        	 Mg2SiO4              : -4.7710147544        	 SiO                  : -4.9533941902        	 Ni                   : -5.8240975763        	 MgAl2O4              : -5.8510451379        0.35115442857391976 AU
Fe                   : -4.5055879298        	 Mg2SiO4              : -4.7624136973        	 SiO                  : -4.9544893289        	 Ni                   : -5.8172713822        	 MgAl2O4              : -5.8510425187        0.35498658573969977 AU
Fe                   : -4.5048003333        	 Mg2SiO4              : -4.7555135113        	 SiO                  : -4.9548089067        	 Ni                   : -5.8115064884        	 MgAl2O4              : -5.851040337         0.3588605636968065 AU
Fe                   : -4.5041199869        	 Mg2SiO4              : -4.7499872632        	 SiO                  : -4.9545386579        	 Ni                   : -5.8066320685        	 MgAl2O4              : -5.8510385232        0.36277681845341153 AU
Fe                   : -4.5035327643        	 Mg2SiO4              : -4.7461161259        	 SiO                  : -4.9564479394        	 Ni                   : -5.8025071495        	 MgAl2O4              : -5.8510370188        0.3667358111162231 AU
Fe                   : -4.5030263502        	 Mg2SiO4              : -4.7425856461        	 SiO                  : -4.955451868         	 Ni                   : -5.7990146406        	 MgAl2O4              : -5.8510357715        0.37073800896784936 AU
Fe                   : -4.5025900101        	 Mg2SiO4              : -4.7397744103        	 SiO                  : -4.9542700172        	 Ni                   : -5.7960567673        	 MgAl2O4              : -5.8510347397        0.37478388251500533 AU
Fe                   : -4.5022143906        	 Mg2SiO4              : -4.7375402444        	 SiO                  : -4.9529886563        	 Ni                   : -5.7935515269        	 MgAl2O4              : -5.8510338873        0.3788739085332855 AU
Fe                   : -4.5018913451        	 Mg2SiO4              : -4.7151882307        	 SiO                  : -5.0416788006        	 Ni                   : -5.7914298964        	 CaAl2Si2O8           : -5.9213314621        0.3830085691478717 AU
Fe                   : -4.5016137828        	 Mg2SiO4              : -4.7103040918        	 SiO                  : -5.0580222634        	 Ni                   : -5.789633621         	 CaAl2Si2O8           : -5.8510324811        0.38718835189836437 AU
Fe                   : -4.5013755343        	 Mg2SiO4              : -4.7092231275        	 SiO                  : -5.0564752973        	 Ni                   : -5.7881134076        	 CaAl2Si2O8           : -5.8510319061        0.3914137481514906 AU
Fe                   : -4.5011712363        	 Mg2SiO4              : -4.7127337725        	 SiO                  : -5.0847523782        	 Ni                   : -5.7868274804        	 CaAl2Si2O8           : -5.8510314807        0.3956852569522208 AU
Fe                   : -4.5009962296        	 Mg2SiO4              : -4.7120503908        	 SiO                  : -5.0832942038        	 Ni                   : -5.7857403866        	 CaAl2Si2O8           : -5.8510311692        0.40000338014753034 AU
Fe                   : -4.5008464699        	 Mg2SiO4              : -4.7115131585        	 SiO                  : -5.0819514487        	 Ni                   : -5.7848220084        	 CaAl2Si2O8           : -5.8510309217        0.4043686274296655 AU
Fe                   : -4.5007184498        	 Mg2SiO4              : -4.7110915673        	 SiO                  : -5.0807292728        	 Ni                   : -5.7840467442        	 CaAl2Si2O8           : -5.8510307253        0.4087815130606652 AU
Fe                   : -4.5006091299        	 Mg2SiO4              : -4.7107613038        	 SiO                  : -5.0796275837        	 Ni                   : -5.7833928232        	 CaAl2Si2O8           : -5.8510305698        0.41324255584575265 AU
Fe                   : -4.5005158794        	 Mg2SiO4              : -4.7105030325        	 SiO                  : -5.0786426407        	 Ni                   : -5.7828417292        	 CaAl2Si2O8           : -5.8510304467        0.4177522827480605 AU
Fe                   : -4.5004364228        	 Mg2SiO4              : -4.7103014082        	 SiO                  : -5.0777682891        	 Ni                   : -5.7823777148        	 CaAl2Si2O8           : -5.8510303496        0.4223112242132961 AU
Fe                   : -4.5003687941        	 Mg2SiO4              : -4.7101442766        	 SiO                  : -5.0769968947        	 Ni                   : -5.7819873908        	 CaAl2Si2O8           : -5.851030273         0.4269199178053548 AU
Fe                   : -4.5003112965        	 Mg2SiO4              : -4.710022029         	 SiO                  : -5.0763200375        	 Ni                   : -5.7816593767        	 CaAl2Si2O8           : -5.8510302126        0.43157890582435715 AU
Fe                   : -4.5002624672        	 Mg2SiO4              : -4.7099270837        	 SiO                  : -5.0757290151        	 Ni                   : -5.7813840045        	 CaAl2Si2O8           : -5.8510301652        0.43628873786645855 AU
Fe                   : -4.5002210461        	 Mg2SiO4              : -4.7098534694        	 SiO                  : -5.0752151988        	 Ni                   : -5.781153066         	 CaAl2Si2O8           : -5.8510301279        0.4410499677032848 AU
Fe                   : -4.5001859494        	 Mg2SiO4              : -4.7097964917        	 SiO                  : -5.074770277         	 Ni                   : -5.780959597         	 CaAl2Si2O8           : -5.8510300987        0.4458631578812672 AU
Fe                   : -4.5001562455        	 Mg2SiO4              : -4.7097524666        	 SiO                  : -5.0743864123        	 Ni                   : -5.7807976936        	 CaAl2Si2O8           : -5.8510300758        0.4507288738817588 AU
Fe                   : -4.5001311348        	 Mg2SiO4              : -4.7097185088        	 SiO                  : -5.0740759169        	 Ni                   : -5.7806623548        	 CaAl2Si2O8           : -5.8510300579        0.45564769014594053 AU
Fe                   : -4.5001099317        	 Mg2SiO4              : -4.7119506358        	 SiO                  : -5.0686164765        	 Ni                   : -5.7805493483        	 CaAl2Si2O8           : -5.8510300442        0.4606201847424401 AU
Fe                   : -4.5000920491        	 Mg2SiO4              : -4.7119692392        	 SiO                  : -5.0682891131        	 Ni                   : -5.7804550961        	 CaAl2Si2O8           : -5.8510300332        0.46564694493173897 AU
Fe                   : -4.5000769848        	 Mg2SiO4              : -4.7119842297        	 SiO                  : -5.0680160237        	 Ni                   : -5.7803765757        	 CaAl2Si2O8           : -5.8510300247        0.4707285623831062 AU
Fe                   : -4.5000643097        	 Mg2SiO4              : -4.711996277         	 SiO                  : -5.0677884414        	 Ni                   : -5.7803112372        	 CaAl2Si2O8           : -5.8510300181        0.4758656352888575 AU
Fe                   : -4.5000536576        	 Mg2SiO4              : -4.7120059341        	 SiO                  : -5.0675989755        	 Ni                   : -5.7802569312        	 CaAl2Si2O8           : -5.851030013         0.4810587691874273 AU
Fe                   : -4.5000447163        	 Mg2SiO4              : -4.7120136555        	 SiO                  : -5.0674414025        	 Ni                   : -5.7802118481        	 CaAl2Si2O8           : -5.851030009         0.48630857633494545 AU
Fe                   : -4.5000372201        	 Mg2SiO4              : -4.7120198139        	 SiO                  : -5.0673104872        	 Ni                   : -5.7801744663        	 CaAl2Si2O8           : -5.8510300059        0.49161567422979247 AU
Fe                   : -4.5000309429        	 Mg2SiO4              : -4.8753620212        	 MgSiO3               : -4.9148023338        	 SiO                  : -5.6051025794        	 Ni                   : -5.7801435073        0.496980688715018 AU
Fe                   : -4.5000256932        	 MgSiO3               : -4.766068005         	 Mg2SiO4              : -4.9650043662        	 Ni                   : -5.7801178986        	 CaAl2Si2O8           : -5.8510300023        0.5024042517770106 AU
Fe                   : -4.500021308         	 MgSiO3               : -4.7659709283        	 Mg2SiO4              : -4.9650880701        	 Ni                   : -5.7800967413        	 CaAl2Si2O8           : -5.8510300008        0.5078870023720308 AU
