1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -0.9270784181        	 Ni                   : -0.9270985519        	 TiN                  : -0.9270998963        	 Zr                   : -0.9270999999        	 Cr                   : -0.9271021541        0.19076475972781792 AU
Fe                   : -0.9270779897        	 SiC                  : -0.9270909188        	 Ni                   : -0.9270983997        	 TiN                  : -0.927099896         	 Zr                   : -0.9270999996        0.2052802828891569 AU
Fe                   : -0.9270778101        	 SiC                  : -0.9270817116        	 Ni                   : -0.9270983391        	 CaS                  : -0.9270990567        	 TiN                  : -0.9270998959        0.22090031008128336 AU
SiC                  : -0.9270704063        	 Fe                   : -0.9270777368        	 CaS                  : -0.9270982857        	 Ni                   : -0.9270983157        	 Cr                   : -0.9270997045        0.23770888404613766 AU
SiC                  : -0.9270641815        	 Fe                   : -0.9270777077        	 CaS                  : -0.9270981357        	 Ni                   : -0.9270983069        	 Cr                   : -0.9270995925        0.2557964424211845 AU
SiC                  : -0.927062144         	 Fe                   : -0.9270776965        	 CaS                  : -0.927098032         	 Ni                   : -0.9270983037        	 Cr                   : -0.9270995478        0.2752603057862546 AU
SiC                  : -0.9270613183        	 Fe                   : -0.9270776923        	 CaS                  : -0.9270979614        	 Ni                   : -0.9270983026        	 Cr                   : -0.9270995306        0.2962051984029909 AU
SiC                  : -0.9270609044        	 Fe                   : -0.9270776908        	 CaS                  : -0.9270979143        	 Ni                   : -0.9270983022        	 Cr                   : -0.9270995243        0.3187438126272166 AU
SiC                  : -0.9270606783        	 Fe                   : -0.9270776903        	 CaS                  : -0.9270978829        	 Ni                   : -0.9270983021        	 Cr                   : -0.927099522         0.34299741825299457 AU
SiC                  : -0.9270605504        	 Fe                   : -0.9270776901        	 CaS                  : -0.927097862         	 Ni                   : -0.927098302         	 Cr                   : -0.9270995212        0.36909650946080763 AU
SiC                  : -0.927060476         	 Fe                   : -0.92707769          	 CaS                  : -0.9270978483        	 Ni                   : -0.927098302         	 Cr                   : -0.9270995209        0.3971815128754026 AU
SiC                  : -0.927060431         	 Fe                   : -0.92707769          	 CaS                  : -0.9270978394        	 Ni                   : -0.927098302         	 Cr                   : -0.9270995208        0.4274035394437966 AU
SiC                  : -0.9270604024        	 Fe                   : -0.92707769          	 CaS                  : -0.9270978336        	 Ni                   : -0.927098302         	 Cr                   : -0.9270995208        0.4599251949325074 AU
SiC                  : -0.9270603828        	 Fe                   : -0.92707769          	 CaS                  : -0.9270978299        	 Ni                   : -0.927098302         	 Cr                   : -0.9270995208        0.49492146406720827 AU
SiC                  : -0.9270603683        	 Fe                   : -0.92707769          	 CaS                  : -0.9270978276        	 Ni                   : -0.927098302         	 Cr                   : -0.9270995208        0.5325806418122435 AU
SiC                  : -0.9270603339        	 Fe                   : -0.92707769          	 CaS                  : -0.9270978262        	 Ni                   : -0.927098302         	 Cr                   : -0.9270995208        0.5731053526031399 AU
SiC                  : -0.9270603139        	 Fe                   : -0.92707769          	 CaS                  : -0.9270978253        	 Ni                   : -0.927098302         	 Cr                   : -0.9270995208        0.6167136367418574 AU
