1                                               2                                               3                                               4                                               5                                               Radius 
C                    : -3.9542790798        	 Fe                   : -4.6474989261        	 SiC                  : -4.7353238461        	 TiC                  : -7.050000573         	 ZrO2                 : -9.436684486         0.19076475972781792 AU
C                    : -3.9475658187        	 Fe                   : -4.555074013         	 SiC                  : -4.7277626744        	 Ni                   : -6.3422094465        	 CaS                  : -6.7719790342        0.2052802828891569 AU
C                    : -3.9545543216        	 Fe                   : -4.5213447503        	 SiC                  : -4.6882213028        	 CaS                  : -5.7403662896        	 Ni                   : -5.9209908827        0.22090031008128336 AU
C                    : -3.9553226434        	 Fe                   : -4.5082373487        	 SiC                  : -4.6786341521        	 CaS                  : -5.6716174212        	 Ni                   : -5.8271897207        0.23770888404613766 AU
C                    : -3.9655659839        	 Fe                   : -4.5031186111        	 SiC                  : -4.6742933889        	 CaS                  : -5.6616793051        	 Ni                   : -5.7964510412        0.2557964424211845 AU
C                    : -3.8362636023        	 Fe                   : -4.5011509677        	 SiO                  : -4.6686132891        	 CaS                  : -5.6602224801        	 Ni                   : -5.7856975959        0.2752603057862546 AU
C                    : -3.8510326932        	 Fe                   : -4.5004128798        	 SiO                  : -4.6468586719        	 CaS                  : -5.6600150029        	 Ni                   : -5.7819307806        0.2962051984029909 AU
C                    : -3.8659665014        	 Fe                   : -4.5001437114        	 SiO                  : -4.560800314         	 MgS                  : -5.4383394179        	 CaS                  : -5.6600019235        0.3187438126272166 AU
C                    : -3.8948530092        	 SiO                  : -4.4957884918        	 Fe                   : -4.5000484778        	 MgS                  : -5.013838366         	 CaS                  : -5.6600014912        0.34299741825299457 AU
C                    : -3.8790550269        	 SiO                  : -4.4917774885        	 Fe                   : -4.5000158334        	 MgO                  : -4.657291091         	 MgS                  : -5.0099493389        0.36909650946080763 AU
C                    : -3.8881613773        	 Fe                   : -4.5000050029        	 SiO                  : -4.7423657898        	 Mg2SiO4              : -4.8475719079        	 MgS                  : -5.0464750789        0.3971815128754026 AU
C                    : -3.9814275758        	 Fe                   : -4.500001528         	 Mg2SiO4              : -4.7880615183        	 SiO                  : -4.7948693229        	 MgS                  : -5.2428075409        0.4274035394437966 AU
C                    : -4.1483261353        	 Fe                   : -4.5000004507        	 Mg2SiO4              : -4.716794817         	 SiO                  : -4.8810917336        	 CaS                  : -5.6600000009        0.4599251949325074 AU
Fe                   : -4.5000001282        	 Mg2SiO4              : -4.7166911981        	 C                    : -4.8418571859        	 SiO                  : -4.8808670756        	 CaS                  : -5.6600000003        0.49492146406720827 AU
Fe                   : -4.5000000352        	 Mg2SiO4              : -4.7166820675        	 SiO                  : -4.8808030069        	 CaS                  : -5.6600000001        	 Ni                   : -5.780000107         0.5325806418122435 AU
Fe                   : -4.5000000093        	 Mg2SiO4              : -4.7096075846        	 SiO                  : -5.0722540504        	 Ni                   : -5.7800000268        	 CaAl2Si2O8           : -5.8510299968        0.5731053526031399 AU
Fe                   : -4.5000000024        	 Mg2SiO4              : -4.8539874733        	 MgSiO3               : -4.9919039622        	 Ni                   : -5.7800000065        	 CaMgSi2O6            : -5.850245599         0.6167136367418574 AU
Fe                   : -4.5000000006        	 Mg2SiO4              : -4.8357368139        	 MgSiO3               : -5.0522426106        	 Ni                   : -5.7800000015        	 CaMgSi2O6            : -5.8147747054        0.6636401291285505 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8290059199        	 MgSiO3               : -5.0729302499        	 Ni                   : -5.7800000003        	 NaAlSi3O8            : -5.8013376587        0.7141373174042467 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8238516082        	 MgSiO3               : -5.0934086661        	 Ni                   : -5.7800000001        	 NaAlSi3O8            : -5.7887696989        0.7684768960407503 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8305243219        	 MgSiO3               : -5.0515076944        	 NaAlSi3O8            : -5.7779647134        	 Ni                   : -5.78                0.8269512400664694 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8280294815        	 MgSiO3               : -5.0593214473        	 NaAlSi3O8            : -5.770111321         	 Ni                   : -5.78                0.8898749684747267 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8259204668        	 MgSiO3               : -5.0673068799        	 NaAlSi3O8            : -5.7654389748        	 Ni                   : -5.78                0.9575866398594399 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.824789147         	 MgSiO3               : -5.0716733459        	 NaAlSi3O8            : -5.7629297978        	 Ni                   : -5.78                1.0304505735810072 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8241970248        	 MgSiO3               : -5.0739809801        	 NaAlSi3O8            : -5.7616076247        	 Ni                   : -5.78                1.1088588144534275 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8238799384        	 MgSiO3               : -5.0752231006        	 NaAlSi3O8            : -5.7608936387        	 Ni                   : -5.78                1.1932332340712184 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8237054391        	 MgSiO3               : -5.0759085719        	 NaAlSi3O8            : -5.7604969748        	 Ni                   : -5.78                1.2840278071129028 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8236083233        	 MgSiO3               : -5.0762906529        	 NaAlSi3O8            : -5.7602739569        	 Ni                   : -5.78                1.381731046230586 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8235544823        	 MgSiO3               : -5.0765026604        	 NaAlSi3O8            : -5.7601490012        	 Ni                   : -5.78                1.4868686478826505 AU
Fe                   : -4.5011369277        	 Mg2SiO4              : -4.8235249888        	 MgSiO3               : -5.0766188506        	 NaAlSi3O8            : -5.7600798082        	 Ni                   : -5.78                1.6000062952094647 AU
Fe                   : -4.5564289731        	 Mg2SiO4              : -4.8235090795        	 MgSiO3               : -5.0766815418        	 FeS                  : -5.4141911961        	 NaAlSi3O8            : -5.7600420725        1.7217527227748703 AU
