1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5030673984        	 SiO                  : -4.6430249191        	 CaS                  : -5.6611731411        	 Ni                   : -5.8004394742        	 Al2O3                : -5.8974978397        0.19076475972781792 AU
Fe                   : -4.5013914897        	 SiO                  : -4.5904792233        	 CaS                  : -5.6601653256        	 Ni                   : -5.7886979106        	 MgAl2O4              : -5.8684437088        0.2052802828891569 AU
Fe                   : -4.5006152169        	 SiO                  : -4.5403925202        	 CaS                  : -5.6600292623        	 Ni                   : -5.7836309137        	 MgAl2O4              : -5.853828869         0.22090031008128336 AU
Fe                   : -4.5002647407        	 SiO                  : -4.5066316335        	 MgO                  : -5.6547137391        	 CaS                  : -5.6600079228        	 MgS                  : -5.7418634806        0.23770888404613766 AU
SiO                  : -4.497504244         	 Fe                   : -4.5001107613        	 MgO                  : -4.5592485602        	 CaS                  : -5.6600018828        	 Ni                   : -5.7805863863        0.2557964424211845 AU
Fe                   : -4.5000450172        	 Mg2SiO4              : -4.7476311841        	 SiO                  : -4.8457867492        	 CaS                  : -5.6600005306        	 Ni                   : -5.7802259519        0.2752603057862546 AU
Fe                   : -4.5000177603        	 Mg2SiO4              : -4.7210159036        	 SiO                  : -4.8765880846        	 CaS                  : -5.6600001693        	 Ni                   : -5.7800845161        0.2962051984029909 AU
Fe                   : -4.5000067953        	 Mg2SiO4              : -4.7172431416        	 SiO                  : -4.8805294703        	 CaS                  : -5.6600000564        	 Ni                   : -5.7800306579        0.3187438126272166 AU
Fe                   : -4.5000025194        	 Mg2SiO4              : -4.716749681         	 SiO                  : -4.8808354996        	 CaS                  : -5.6600000188        	 Ni                   : -5.7800107756        0.34299741825299457 AU
Fe                   : -4.5000009044        	 Mg2SiO4              : -4.7389965329        	 SiO                  : -4.9882706965        	 CaMgSi2O6            : -5.7161135086        	 Ni                   : -5.7800036689        0.36909650946080763 AU
Fe                   : -4.500000314         	 Mg2SiO4              : -4.7096084554        	 SiO                  : -5.0722463906        	 Ni                   : -5.7800012078        	 CaAl2Si2O8           : -5.8510300055        0.3971815128754026 AU
Fe                   : -4.5000001054        	 Mg2SiO4              : -4.7096076482        	 SiO                  : -5.0722545902        	 Ni                   : -5.7800003842        	 CaAl2Si2O8           : -5.8510299976        0.4274035394437966 AU
Fe                   : -4.5000000342        	 Mg2SiO4              : -4.8678252643        	 MgSiO3               : -4.952576634         	 Ni                   : -5.7800001181        	 CaMgSi2O6            : -5.8781278138        0.4599251949325074 AU
Fe                   : -4.5000000107        	 Mg2SiO4              : -4.8416489018        	 MgSiO3               : -5.031479425         	 Ni                   : -5.7800000351        	 CaMgSi2O6            : -5.826112137         0.49492146406720827 AU
Fe                   : -4.5000000033        	 Mg2SiO4              : -4.8313447026        	 MgSiO3               : -5.064023747         	 Ni                   : -5.7800000101        	 NaAlSi3O8            : -5.8085631597        0.5325806418122435 AU
Fe                   : -4.500000001         	 Mg2SiO4              : -4.8258022985        	 MgSiO3               : -5.0855156932        	 Ni                   : -5.7800000028        	 NaAlSi3O8            : -5.7932157796        0.5731053526031399 AU
