1                                               2                                               3                                               4                                               5                                               Radius 
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.03503842525612981 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.03786226724902652 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.04091369034503895 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.044211035923544896 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.047774123513244775 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.051624370097662485 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.055784918478499805 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.06028077674521737 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.0651389684769991 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.0703886951420819 AU
Al2O3                : -300.0               	 NaAlSi2O7H2          : -300.0               	 CaAl2Si2O10H4        : -300.0               	 MgCr2O4              : -300.0               	 Mn2SiO4              : -300.0               0.07606151153681007 AU
