1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5012516639        	 SiO                  : -4.5509243242        	 CaS                  : -5.6601639745        	 Ni                   : -5.7883348405        	 MgAl2O4              : -5.8590484413        0.19076475972781792 AU
Fe                   : -4.5005172744        	 SiO                  : -4.5105878846        	 CaS                  : -5.6600330287        	 Ni                   : -5.7832577507        	 MgAl2O4              : -5.8517524085        0.2052802828891569 AU
SiO                  : -4.496815299         	 Fe                   : -4.500208204         	 MgO                  : -4.5903401524        	 CaS                  : -5.6600082502        	 Ni                   : -5.7812436445        0.22090031008128336 AU
Fe                   : -4.5000815463        	 Mg2SiO4              : -4.749042904         	 SiO                  : -4.8422939908        	 CaS                  : -5.6600022574        	 Ni                   : -5.7804625094        0.23770888404613766 AU
Fe                   : -4.5000310534        	 Mg2SiO4              : -4.7203159505        	 SiO                  : -4.8768656152        	 CaS                  : -5.6600006639        	 Ni                   : -5.7801673215        0.2557964424211845 AU
Fe                   : -4.500011487         	 Mg2SiO4              : -4.7170671191        	 SiO                  : -4.8805615937        	 CaS                  : -5.6600002068        	 Ni                   : -5.7800588146        0.2752603057862546 AU
Fe                   : -4.5000041243        	 Mg2SiO4              : -4.7292750955        	 SiO                  : -4.9386723441        	 Ni                   : -5.7800200779        	 MgAl2O4              : -5.851030223         0.2962051984029909 AU
Fe                   : -4.500001436         	 Mg2SiO4              : -4.7096119054        	 SiO                  : -5.072260227         	 Ni                   : -5.7800066452        	 CaAl2Si2O8           : -5.8510300334        0.3187438126272166 AU
Fe                   : -4.5000004845        	 Mg2SiO4              : -4.7096080073        	 SiO                  : -5.0722599618        	 Ni                   : -5.7800021316        	 CaAl2Si2O8           : -5.8510300019        0.34299741825299457 AU
Fe                   : -4.5000001584        	 Mg2SiO4              : -4.8786077557        	 MgSiO3               : -4.9249927289        	 Ni                   : -5.7800006627        	 CaMgSi2O6            : -5.9005078454        0.36909650946080763 AU
Fe                   : -4.5000000502        	 Mg2SiO4              : -4.8447251936        	 MgSiO3               : -5.0211618579        	 Ni                   : -5.7800001995        	 CaMgSi2O6            : -5.8320684713        0.3971815128754026 AU
Fe                   : -4.5000000155        	 Mg2SiO4              : -4.8317400606        	 MgSiO3               : -5.0670340436        	 Ni                   : -5.7800000582        	 CaMgSi2O6            : -5.807189366         0.4274035394437966 AU
Fe                   : -4.5000000047        	 Mg2SiO4              : -4.8253724262        	 MgSiO3               : -5.0872397519        	 Ni                   : -5.7800000165        	 NaAlSi3O8            : -5.7923093741        0.4599251949325074 AU
Fe                   : -4.5000000015        	 Mg2SiO4              : -4.8215217206        	 MgSiO3               : -5.1030759588        	 Ni                   : -5.7800000045        	 NaAlSi3O8            : -5.7826486913        0.49492146406720827 AU
Fe                   : -4.5000000006        	 Mg2SiO4              : -4.8187443667        	 MgSiO3               : -5.1149589426        	 NaAlSi3O8            : -5.7762829717        	 Ni                   : -5.7800000012        0.5325806418122435 AU
Fe                   : -4.5000000004        	 Mg2SiO4              : -4.8166061514        	 MgSiO3               : -5.1243879108        	 NaAlSi3O8            : -5.7715940341        	 Ni                   : -5.7800000003        0.5731053526031399 AU
Fe                   : -4.5000000003        	 Mg2SiO4              : -4.8251931054        	 MgSiO3               : -5.0730630048        	 NaAlSi3O8            : -5.7680603789        	 Ni                   : -5.7800000001        0.6167136367418574 AU
Fe                   : -4.5000000003        	 Mg2SiO4              : -4.8258961336        	 MgSiO3               : -5.0676047592        	 NaAlSi3O8            : -5.7654437257        	 Ni                   : -5.78                0.6636401291285505 AU
Fe                   : -4.5000000003        	 Mg2SiO4              : -4.8251397766        	 MgSiO3               : -5.0703339203        	 NaAlSi3O8            : -5.7635749537        	 Ni                   : -5.78                0.7141373174042467 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8245442409        	 MgSiO3               : -5.0726290531        	 NaAlSi3O8            : -5.7622887717        	 Ni                   : -5.78                0.7684768960407503 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8241451606        	 MgSiO3               : -5.0741844553        	 NaAlSi3O8            : -5.7614325192        	 Ni                   : -5.78                0.8269512400664694 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8238886907        	 MgSiO3               : -5.075188879         	 NaAlSi3O8            : -5.7608786329        	 Ni                   : -5.78                0.8898749684747267 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8237283339        	 MgSiO3               : -5.075818583         	 NaAlSi3O8            : -5.7605290912        	 Ni                   : -5.78                0.9575866398594399 AU
