1                                               2                                               3                                               4                                               5                                               Radius 
SiO                  : -4.4168743724        	 Fe                   : -4.5012523927        	 Mg2SiO4              : -5.0256833173        	 Ni                   : -5.7883446515        	 MgAl2O4              : -5.8510411546        0.19076475972781792 AU
SiO                  : -4.4173382503        	 Fe                   : -4.5005175721        	 Mg2SiO4              : -5.016393567         	 Ni                   : -5.7832608357        	 MgAl2O4              : -5.8510341308        0.2052802828891569 AU
SiO                  : -4.4529173089        	 Fe                   : -4.5002083524        	 Mg2SiO4              : -4.976594787         	 Ni                   : -5.7812448871        	 CaAl2Si2O8           : -5.8510312212        0.22090031008128336 AU
SiO                  : -4.4526165607        	 Fe                   : -4.5000816156        	 Mg2SiO4              : -4.9759009382        	 Ni                   : -5.7804630151        	 CaAl2Si2O8           : -5.8510303512        0.23770888404613766 AU
SiO                  : -4.4524706488        	 Fe                   : -4.5000310824        	 Mg2SiO4              : -4.9757309476        	 Ni                   : -5.7801675083        	 CaAl2Si2O8           : -5.8510300946        0.2557964424211845 AU
SiO                  : -4.4510787796        	 Fe                   : -4.5000114997        	 Mg2SiO4              : -4.9801735653        	 Ni                   : -5.7800588813        	 CaAl2Si2O8           : -5.8510300226        0.2752603057862546 AU
Fe                   : -4.5000041301        	 SiO                  : -4.6071123834        	 MgSiO3               : -4.6746536721        	 Ni                   : -5.7800200914        	 CaAl2Si2O8           : -5.8510300031        0.2962051984029909 AU
Fe                   : -4.5000014391        	 SiO2                 : -4.6611188301        	 MgSiO3               : -4.6866860971        	 Ni                   : -5.7800066544        	 CaMgSi2O6            : -5.86754074          0.3187438126272166 AU
Fe                   : -4.5000004869        	 SiO2                 : -4.6789245201        	 MgSiO3               : -4.6904035014        	 Ni                   : -5.7800021373        	 CaMgSi2O6            : -5.81474418          0.34299741825299457 AU
Fe                   : -4.5000001604        	 SiO2                 : -4.68744706          	 MgSiO3               : -4.6921402306        	 Ni                   : -5.7800006656        	 NaAlSi3O8            : -5.7916274567        0.36909650946080763 AU
Fe                   : -4.5000000519        	 SiO2                 : -4.6941035748        	 MgSiO3               : -4.6942453485        	 CaMgSi2O6            : -5.7665862072        	 NaAlSi3O8            : -5.7763013888        0.3971815128754026 AU
Fe                   : -4.5000000169        	 MgSiO3               : -4.6946892113        	 SiO2                 : -4.6963072759        	 CaMgSi2O6            : -5.7613771032        	 NaAlSi3O8            : -5.7690528143        0.4274035394437966 AU
Fe                   : -4.5000000058        	 MgSiO3               : -4.6949391102        	 SiO2                 : -4.6975578953        	 CaMgSi2O6            : -5.758473912         	 NaAlSi3O8            : -5.7652561969        0.4599251949325074 AU
Fe                   : -4.5000000023        	 MgSiO3               : -4.6950863638        	 SiO2                 : -4.6982978484        	 CaMgSi2O6            : -5.7567730202        	 NaAlSi3O8            : -5.7631209296        0.49492146406720827 AU
Fe                   : -4.5000000012        	 MgSiO3               : -4.6938979931        	 SiO2                 : -4.700036183         	 NaAlSi3O8            : -5.7618662935        	 CaMgSi2O6            : -5.7707104593        0.5325806418122435 AU
Fe                   : -4.5000000007        	 MgSiO3               : -4.6939517192        	 SiO2                 : -4.7003086245        	 NaAlSi3O8            : -5.7611125656        	 CaMgSi2O6            : -5.7700697654        0.5731053526031399 AU
