1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5053690766        	 Mg2SiO4              : -4.7637861262        	 SiO                  : -4.9499065762        	 Ni                   : -5.8162003991        	 MgAl2O4              : -5.8510437746        0.19076475972781792 AU
Fe                   : -4.5046086645        	 Mg2SiO4              : -4.7565943617        	 SiO                  : -4.9509428078        	 Ni                   : -5.8105816785        	 MgAl2O4              : -5.8510413759        0.1935605762406765 AU
Fe                   : -4.503952352         	 Mg2SiO4              : -4.7508370265        	 SiO                  : -4.9512853028        	 Ni                   : -5.8058334627        	 MgAl2O4              : -5.8510393813        0.19639736804065555 AU
Fe                   : -4.5033863491        	 Mg2SiO4              : -4.7462364873        	 SiO                  : -4.9511068544        	 Ni                   : -5.8018176964        	 MgAl2O4              : -5.8510377257        0.19927573537455323 AU
Fe                   : -4.5028986439        	 Mg2SiO4              : -4.7431088519        	 SiO                  : -4.9531441247        	 Ni                   : -5.7984197009        	 MgAl2O4              : -5.8510363546        0.20219628737340725 AU
Fe                   : -4.5024787758        	 Mg2SiO4              : -4.7401834489        	 SiO                  : -4.9523344265        	 Ni                   : -5.7955437195        	 MgAl2O4              : -5.8510352193        0.20515964294192637 AU
Fe                   : -4.5021176381        	 Mg2SiO4              : -4.7378594263        	 SiO                  : -4.9513654031        	 Ni                   : -5.7931094536        	 MgAl2O4              : -5.8510342814        0.2081664286663585 AU
Fe                   : -4.5018073065        	 Mg2SiO4              : -4.736016696         	 SiO                  : -4.950311773         	 Ni                   : -5.7910493344        	 MgAl2O4              : -5.8510335077        0.2112172811555149 AU
Fe                   : -4.5015408889        	 Mg2SiO4              : -4.7146799097        	 SiO                  : -5.0353938983        	 Ni                   : -5.7893063442        	 CaAl2Si2O8           : -5.9361803461        0.21431284645930576 AU
Fe                   : -4.5013123959        	 Mg2SiO4              : -4.7093691787        	 SiO                  : -5.0552344846        	 Ni                   : -5.7878322693        	 CaAl2Si2O8           : -5.8510322344        0.2174537802135997 AU
Fe                   : -4.5011166245        	 Mg2SiO4              : -4.7084833979        	 SiO                  : -5.0539654184        	 Ni                   : -5.7865862622        	 CaAl2Si2O8           : -5.8510317142        0.22064074653837937 AU
