1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5069220403        	 Mg2SiO4              : -4.7737080179        	 SiO                  : -4.9547517882        	 Ni                   : -5.8270851705        	 MgAl2O4              : -5.851045615         0.19076475972781792 AU
Fe                   : -4.505938373         	 Mg2SiO4              : -4.7644865841        	 SiO                  : -4.9557935127        	 Ni                   : -5.8196859043        	 MgAl2O4              : -5.8510429013        0.1937457296177724 AU
Fe                   : -4.5050900415        	 Mg2SiO4              : -4.7571044221        	 SiO                  : -4.9560364354        	 Ni                   : -5.8134583636        	 MgAl2O4              : -5.8510406428        0.1967732816740038 AU
Fe                   : -4.5043589727        	 Mg2SiO4              : -4.751204412         	 SiO                  : -4.9556727118        	 Ni                   : -5.8082095282        	 MgAl2O4              : -5.8510387667        0.19984814351001404 AU
Fe                   : -4.5037294565        	 Mg2SiO4              : -4.7470457312        	 SiO                  : -4.9574838748        	 Ni                   : -5.8037810961        	 MgAl2O4              : -5.8510372121        0.20297105420164266 AU
Fe                   : -4.5031878374        	 Mg2SiO4              : -4.7432919256        	 SiO                  : -4.9563789578        	 Ni                   : -5.8000423076        	 MgAl2O4              : -5.8510359244        0.20614276527953238 AU
Fe                   : -4.5027222467        	 Mg2SiO4              : -4.7403090369        	 SiO                  : -4.9550885198        	 Ni                   : -5.7968845134        	 MgAl2O4              : -5.8510348601        0.20936403853124422 AU
Fe                   : -4.502322372         	 Mg2SiO4              : -4.7379433916        	 SiO                  : -4.9537024949        	 Ni                   : -5.7942169991        	 MgAl2O4              : -5.8510339819        0.21263564854667757 AU
Fe                   : -4.5019792559        	 Mg2SiO4              : -4.7152341306        	 SiO                  : -5.0436737896        	 Ni                   : -5.7919637219        	 CaAl2Si2O8           : -5.915956192         0.21595838213938962 AU
Fe                   : -4.5016851231        	 Mg2SiO4              : -4.7105249135        	 SiO                  : -5.0586851556        	 Ni                   : -5.7900607459        	 CaAl2Si2O8           : -5.8510325359        0.21933303854504294 AU
Fe                   : -4.5014332265        	 Mg2SiO4              : -4.7093876335        	 SiO                  : -5.0570367173        	 Ni                   : -5.7884541623        	 CaAl2Si2O8           : -5.8510319462        0.22276042827931045 AU
Fe                   : -4.5012177158        	 Mg2SiO4              : -4.712857894         	 SiO                  : -5.0852554214        	 Ni                   : -5.7870984351        	 CaAl2Si2O8           : -5.8510315103        0.226241376403081 AU
Fe                   : -4.5010335224        	 Mg2SiO4              : -4.7121419853        	 SiO                  : -5.0837126558        	 Ni                   : -5.7859550426        	 CaAl2Si2O8           : -5.8510311913        0.22977671871459718 AU
Fe                   : -4.5008762577        	 Mg2SiO4              : -4.7115803979        	 SiO                  : -5.0822965262        	 Ni                   : -5.7849913582        	 CaAl2Si2O8           : -5.8510309381        0.23336730600962055 AU
Fe                   : -4.5007421255        	 Mg2SiO4              : -4.7111406501        	 SiO                  : -5.0810114076        	 Ni                   : -5.7841797282        	 CaAl2Si2O8           : -5.8510307375        0.23701400156808666 AU
Fe                   : -4.5006278444        	 Mg2SiO4              : -4.7107969129        	 SiO                  : -5.0798562635        	 Ni                   : -5.7834967022        	 CaAl2Si2O8           : -5.8510305787        0.2407176812703198 AU
Fe                   : -4.5005305813        	 Mg2SiO4              : -4.7105286916        	 SiO                  : -5.0788263408        	 Ni                   : -5.7829223901        	 CaAl2Si2O8           : -5.8510304533        0.2444792367579324 AU
Fe                   : -4.5004478918        	 Mg2SiO4              : -4.7103197576        	 SiO                  : -5.0779144691        	 Ni                   : -5.782439921         	 CaAl2Si2O8           : -5.8510303543        0.24829957171717026 AU
Fe                   : -4.5003776696        	 Mg2SiO4              : -4.710157286         	 SiO                  : -5.0771120373        	 Ni                   : -5.7820349872        	 CaAl2Si2O8           : -5.8510302764        0.2521796050675947 AU
Fe                   : -4.5003181009        	 Mg2SiO4              : -4.7100311613        	 SiO                  : -5.0764097146        	 Ni                   : -5.7816954594        	 CaAl2Si2O8           : -5.851030215         0.2561202691357052 AU
Fe                   : -4.5002676261        	 Mg2SiO4              : -4.70993342          	 SiO                  : -5.0757979688        	 Ni                   : -5.781411059         	 CaAl2Si2O8           : -5.8510301669        0.2601225119828884 AU
Fe                   : -4.5002249052        	 Mg2SiO4              : -4.7098578045        	 SiO                  : -5.0752674285        	 Ni                   : -5.7811730814        	 CaAl2Si2O8           : -5.8510301291        0.26418729493468607 AU
Fe                   : -4.500188788         	 Mg2SiO4              : -4.7097994067        	 SiO                  : -5.0748091275        	 Ni                   : -5.7809741593        	 CaAl2Si2O8           : -5.8510300995        0.2683155966739344 AU
