1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5076968472        	 Mg2SiO4              : -4.7786235944        	 SiO                  : -4.9573088415        	 Ni                   : -5.8326014086        	 MgAl2O4              : -5.8510464493        0.19076475972781792 AU
Fe                   : -4.5066000733        	 Mg2SiO4              : -4.7683878863        	 SiO                  : -4.9583050163        	 Ni                   : -5.8242752605        	 MgAl2O4              : -5.8510435921        0.1935605762406765 AU
Fe                   : -4.5056547463        	 Mg2SiO4              : -4.7601962865        	 SiO                  : -4.9584630746        	 Ni                   : -5.8172835901        	 MgAl2O4              : -5.8510412134        0.19639736804065555 AU
Fe                   : -4.5048405346        	 Mg2SiO4              : -4.7536505203        	 SiO                  : -4.9579814488        	 Ni                   : -5.8114021561        	 MgAl2O4              : -5.8510392369        0.19927573537455323 AU
Fe                   : -4.5041397873        	 Mg2SiO4              : -4.7489805284        	 SiO                  : -4.9596616802        	 Ni                   : -5.8064482765        	 MgAl2O4              : -5.8510375989        0.20219628737340725 AU
Fe                   : -4.5035371788        	 Mg2SiO4              : -4.7448167005        	 SiO                  : -4.9583963055        	 Ni                   : -5.8022719064        	 MgAl2O4              : -5.8510362419        0.20515964294192637 AU
Fe                   : -4.5030194031        	 Mg2SiO4              : -4.7415082993        	 SiO                  : -4.9569362401        	 Ni                   : -5.7987489714        	 MgAl2O4              : -5.8510351203        0.2081664286663585 AU
Fe                   : -4.5025749092        	 Mg2SiO4              : -4.738884779         	 SiO                  : -4.9553780114        	 Ni                   : -5.7957763027        	 MgAl2O4              : -5.8510341948        0.2112172811555149 AU
Fe                   : -4.5021936728        	 Mg2SiO4              : -4.7152604843        	 SiO                  : -5.0490058837        	 Ni                   : -5.7932677209        	 CaAl2Si2O8           : -5.9013687534        0.21431284645930576 AU
Fe                   : -4.5018669989        	 Mg2SiO4              : -4.7110871445        	 SiO                  : -5.0603802426        	 Ni                   : -5.7911509866        	 CaAl2Si2O8           : -5.85103267          0.2174537802135997 AU
Fe                   : -4.501587348         	 Mg2SiO4              : -4.7098265955        	 SiO                  : -5.0585402835        	 Ni                   : -5.7893653461        	 CaAl2Si2O8           : -5.8510320493        0.22064074653837937 AU
Fe                   : -4.5013481873        	 Mg2SiO4              : -4.7132059504        	 SiO                  : -5.0866706706        	 Ni                   : -5.7878595974        	 CaAl2Si2O8           : -5.8510315903        0.22387442103452568 AU
Fe                   : -4.50114386          	 Mg2SiO4              : -4.7124127284        	 SiO                  : -5.0849530548        	 Ni                   : -5.7865905095        	 CaAl2Si2O8           : -5.8510312544        0.22715548720226164 AU
Fe                   : -4.5009694715        	 Mg2SiO4              : -4.7117906242        	 SiO                  : -5.0833780723        	 Ni                   : -5.7855215291        	 CaAl2Si2O8           : -5.8510309878        0.23048464035717192 AU
Fe                   : -4.5008207899        	 Mg2SiO4              : -4.7113035989        	 SiO                  : -5.0819500717        	 Ni                   : -5.7846217202        	 CaAl2Si2O8           : -5.8510307765        0.23386258525250744 AU
Fe                   : -4.5006941596        	 Mg2SiO4              : -4.7109229969        	 SiO                  : -5.0806675013        	 Ni                   : -5.783864883         	 CaAl2Si2O8           : -5.8510306093        0.2372900361474247 AU
Fe                   : -4.5005864253        	 Mg2SiO4              : -4.7106260834        	 SiO                  : -5.0795247675        	 Ni                   : -5.783228821         	 CaAl2Si2O8           : -5.8510304773        0.24076771968845842 AU
Fe                   : -4.5004948667        	 Mg2SiO4              : -4.7103948582        	 SiO                  : -5.0785136605        	 Ni                   : -5.7826947261        	 CaAl2Si2O8           : -5.8510303731        0.244296371425107 AU
Fe                   : -4.5004171402        	 Mg2SiO4              : -4.7102150994        	 SiO                  : -5.0776244262        	 Ni                   : -5.7822466627        	 CaAl2Si2O8           : -5.851030291         0.24787673871439597 AU
Fe                   : -4.5003512292        	 Mg2SiO4              : -4.7100755916        	 SiO                  : -5.0768465557        	 Ni                   : -5.781871132         	 CaAl2Si2O8           : -5.8510302265        0.2515095789877527 AU
Fe                   : -4.5002953998        	 Mg2SiO4              : -4.7099675077        	 SiO                  : -5.0761693526        	 Ni                   : -5.7815567039        	 CaAl2Si2O8           : -5.8510301758        0.25519566185218073 AU
Fe                   : -4.5002481633        	 Mg2SiO4              : -4.7098839133        	 SiO                  : -5.0755823287        	 Ni                   : -5.781293705         	 CaAl2Si2O8           : -5.851030136         0.25893576676616786 AU
Fe                   : -4.5002082425        	 Mg2SiO4              : -4.7098193705        	 SiO                  : -5.0750754686        	 Ni                   : -5.7810739535        	 CaAl2Si2O8           : -5.8510301049        0.2627306867598847 AU
Fe                   : -4.500174543         	 Mg2SiO4              : -4.7097696232        	 SiO                  : -5.0746393956        	 Ni                   : -5.7808905341        	 CaAl2Si2O8           : -5.8510300805        0.2665812239600657 AU
Fe                   : -4.500146128         	 Mg2SiO4              : -4.7097313465        	 SiO                  : -5.0742850571        	 Ni                   : -5.780737607         	 CaAl2Si2O8           : -5.8510300615        0.27048819445468475 AU
Fe                   : -4.5001221967        	 Mg2SiO4              : -4.7119402444        	 SiO                  : -5.0688325593        	 Ni                   : -5.7806102442        	 CaAl2Si2O8           : -5.8510300469        0.27445242419324684 AU
Fe                   : -4.5001020651        	 Mg2SiO4              : -4.7119611422        	 SiO                  : -5.0684640344        	 Ni                   : -5.7805042917        	 CaAl2Si2O8           : -5.8510300353        0.27847475352918105 AU
Fe                   : -4.50008515          	 Mg2SiO4              : -4.7119779389        	 SiO                  : -5.0681574119        	 Ni                   : -5.7804162508        	 CaAl2Si2O8           : -5.8510300263        0.2825560335357783 AU
Fe                   : -4.5000709541        	 Mg2SiO4              : -4.7119914038        	 SiO                  : -5.0679025489        	 Ni                   : -5.7803431778        	 CaAl2Si2O8           : -5.8510300193        0.2866971278081989 AU
Fe                   : -4.5000590546        	 Mg2SiO4              : -4.71200217          	 SiO                  : -5.0676909205        	 Ni                   : -5.7802825987        	 CaAl2Si2O8           : -5.8510300139        0.2908989132572233 AU
