1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5051390248        	 Mg2SiO4              : -4.7623074508        	 SiO                  : -4.9492218881        	 Ni                   : -5.8146067827        	 MgAl2O4              : -5.8510434787        0.19076475972781792 AU
Fe                   : -4.5044113616        	 Mg2SiO4              : -4.7554166964        	 SiO                  : -4.9502461546        	 Ni                   : -5.8092438298        	 MgAl2O4              : -5.8510411305        0.1935605762406765 AU
Fe                   : -4.5037832704        	 Mg2SiO4              : -4.7499007647        	 SiO                  : -4.9505953806        	 Ni                   : -5.8047093038        	 MgAl2O4              : -5.8510391783        0.19639736804065555 AU
Fe                   : -4.5032415726        	 Mg2SiO4              : -4.7454935558        	 SiO                  : -4.9504386393        	 Ni                   : -5.8008725279        	 MgAl2O4              : -5.851037558         0.19927573537455323 AU
Fe                   : -4.5027747858        	 Mg2SiO4              : -4.742519487         	 SiO                  : -4.9525053628        	 Ni                   : -5.797624755         	 MgAl2O4              : -5.8510362164        0.20219628737340725 AU
Fe                   : -4.5023729084        	 Mg2SiO4              : -4.739717597         	 SiO                  : -4.9517364695        	 Ni                   : -5.7948750415        	 MgAl2O4              : -5.8510351056        0.20515964294192637 AU
Fe                   : -4.5020272314        	 Mg2SiO4              : -4.7374919074        	 SiO                  : -4.9508129989        	 Ni                   : -5.7925470256        	 MgAl2O4              : -5.8510341879        0.2081664286663585 AU
Fe                   : -4.5017301756        	 Mg2SiO4              : -4.7357272983        	 SiO                  : -4.9498071834        	 Ni                   : -5.7905763802        	 MgAl2O4              : -5.851033431         0.2112172811555149 AU
Fe                   : -4.5014751477        	 Mg2SiO4              : -4.714499068         	 SiO                  : -5.03464067          	 Ni                   : -5.7889087729        	 CaAl2Si2O8           : -5.9371177462        0.21431284645930576 AU
Fe                   : -4.5012564178        	 Mg2SiO4              : -4.7091951267        	 SiO                  : -5.0547190133        	 Ni                   : -5.7874982236        	 CaAl2Si2O8           : -5.8510321853        0.2174537802135997 AU
Fe                   : -4.5010690074        	 Mg2SiO4              : -4.7083470533        	 SiO                  : -5.0535055814        	 Ni                   : -5.7863057517        	 CaAl2Si2O8           : -5.8510316764        0.22064074653837937 AU
Fe                   : -4.5009085955        	 Mg2SiO4              : -4.7120308807        	 SiO                  : -5.0819212734        	 Ni                   : -5.7852982753        	 CaAl2Si2O8           : -5.8510313006        0.22387442103452568 AU
Fe                   : -4.5007714349        	 Mg2SiO4              : -4.7114971465        	 SiO                  : -5.080780521         	 Ni                   : -5.7844476951        	 CaAl2Si2O8           : -5.8510310256        0.22715548720226164 AU
Fe                   : -4.5006542784        	 Mg2SiO4              : -4.7110784807        	 SiO                  : -5.0797315616        	 Ni                   : -5.7837301305        	 CaAl2Si2O8           : -5.8510308075        0.23048464035717192 AU
Fe                   : -4.5005543147        	 Mg2SiO4              : -4.7107506486        	 SiO                  : -5.0787782692        	 Ni                   : -5.7831252806        	 CaAl2Si2O8           : -5.8510306346        0.23386258525250744 AU
Fe                   : -4.5004691125        	 Mg2SiO4              : -4.7104943874        	 SiO                  : -5.0779203465        	 Ni                   : -5.7826158865        	 CaAl2Si2O8           : -5.8510304978        0.2372900361474247 AU
Fe                   : -4.5003965706        	 Mg2SiO4              : -4.7102944168        	 SiO                  : -5.0771546219        	 Ni                   : -5.7821872775        	 CaAl2Si2O8           : -5.8510303897        0.24076771968845842 AU
Fe                   : -4.5003348757        	 Mg2SiO4              : -4.7101386395        	 SiO                  : -5.0764760419        	 Ni                   : -5.7818269861        	 CaAl2Si2O8           : -5.8510303045        0.244296371425107 AU
