1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5049278777        	 Mg2SiO4              : -4.7609480571        	 SiO                  : -4.948601267         	 Ni                   : -5.8131482794        	 MgAl2O4              : -5.8510432007        0.19076475972781792 AU
Fe                   : -4.5042302579        	 Mg2SiO4              : -4.754334072         	 SiO                  : -4.9496121341        	 Ni                   : -5.8080187115        	 MgAl2O4              : -5.8510409001        0.1935605762406765 AU
Fe                   : -4.5036280603        	 Mg2SiO4              : -4.7490401157        	 SiO                  : -4.9499658647        	 Ni                   : -5.8036793777        	 MgAl2O4              : -5.8510389877        0.19639736804065555 AU
Fe                   : -4.5031086656        	 Mg2SiO4              : -4.7448106723        	 SiO                  : -4.9498278947        	 Ni                   : -5.8000062409        	 MgAl2O4              : -5.8510374006        0.19927573537455323 AU
Fe                   : -4.5026610763        	 Mg2SiO4              : -4.7419777962        	 SiO                  : -4.9519208745        	 Ni                   : -5.7968959072        	 MgAl2O4              : -5.8510360866        0.20219628737340725 AU
Fe                   : -4.5022757109        	 Mg2SiO4              : -4.7392894547        	 SiO                  : -4.9511888813        	 Ni                   : -5.7942617878        	 MgAl2O4              : -5.8510349988        0.20515964294192637 AU
Fe                   : -4.5019442251        	 Mg2SiO4              : -4.7371541561        	 SiO                  : -4.9503068363        	 Ni                   : -5.7920310908        	 MgAl2O4              : -5.8510341002        0.2081664286663585 AU
Fe                   : -4.5016593558        	 Mg2SiO4              : -4.7354613519        	 SiO                  : -4.9493446375        	 Ni                   : -5.7901424344        	 MgAl2O4              : -5.851033359         0.2112172811555149 AU
Fe                   : -4.5014147839        	 Mg2SiO4              : -4.7142983085        	 SiO                  : -5.0341192607        	 Ni                   : -5.7885439292        	 CaAl2Si2O8           : -5.9372057759        0.21431284645930576 AU
Fe                   : -4.5012050169        	 Mg2SiO4              : -4.7090351786        	 SiO                  : -5.0542463527        	 Ni                   : -5.7871916312        	 CaAl2Si2O8           : -5.8510321392        0.2174537802135997 AU
Fe                   : -4.5010252827        	 Mg2SiO4              : -4.7082217594        	 SiO                  : -5.0530838348        	 Ni                   : -5.7860482626        	 CaAl2Si2O8           : -5.8510316409        0.22064074653837937 AU
Fe                   : -4.5008714387        	 Mg2SiO4              : -4.7119311909        	 SiO                  : -5.0815223663        	 Ni                   : -5.7850821705        	 CaAl2Si2O8           : -5.851031273         0.22387442103452568 AU
Fe                   : -4.5007398921        	 Mg2SiO4              : -4.7114193281        	 SiO                  : -5.0804290371        	 Ni                   : -5.7842664577        	 CaAl2Si2O8           : -5.8510310038        0.22715548720226164 AU
Fe                   : -4.5006275295        	 Mg2SiO4              : -4.711017839         	 SiO                  : -5.0794235339        	 Ni                   : -5.7835782564        	 CaAl2Si2O8           : -5.8510307902        0.23048464035717192 AU
Fe                   : -4.5005316552        	 Mg2SiO4              : -4.7107034721        	 SiO                  : -5.078509628         	 Ni                   : -5.7829981209        	 CaAl2Si2O8           : -5.851030621         0.23386258525250744 AU
Fe                   : -4.5004499377        	 Mg2SiO4              : -4.7104577476        	 SiO                  : -5.0776870753        	 Ni                   : -5.782509515         	 CaAl2Si2O8           : -5.8510304871        0.2372900361474247 AU
Fe                   : -4.5003803623        	 Mg2SiO4              : -4.7102660076        	 SiO                  : -5.0769528647        	 Ni                   : -5.7820983788        	 CaAl2Si2O8           : -5.8510303813        0.24076771968845842 AU
