1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5071574043        	 Mg2SiO4              : -4.7752034806        	 SiO                  : -4.9555189552        	 Ni                   : -5.8287546829        	 MgAl2O4              : -5.8510458736        0.19076475972781792 AU
Fe                   : -4.5061388439        	 Mg2SiO4              : -4.7656702471        	 SiO                  : -4.9565476898        	 Ni                   : -5.8210720978        	 MgAl2O4              : -5.8510431148        0.19337057573994215 AU
Fe                   : -4.5052606649        	 Mg2SiO4              : -4.7580398699        	 SiO                  : -4.9567649327        	 Ni                   : -5.8146112525        	 MgAl2O4              : -5.8510408185        0.19601198702869682 AU
Fe                   : -4.504504077         	 Mg2SiO4              : -4.7519423683        	 SiO                  : -4.9563650752        	 Ni                   : -5.809169548         	 MgAl2O4              : -5.8510389111        0.19868947955886548 AU
Fe                   : -4.5038527549        	 Mg2SiO4              : -4.7476277388        	 SiO                  : -4.9581359122        	 Ni                   : -5.8045811835        	 MgAl2O4              : -5.8510373306        0.2014035460151237 AU
Fe                   : -4.503292515         	 Mg2SiO4              : -4.7437492511        	 SiO                  : -4.9569817545        	 Ni                   : -5.8007094568        	 MgAl2O4              : -5.8510360213        0.20415468659802277 AU
Fe                   : -4.5028110347        	 Mg2SiO4              : -4.74066767          	 SiO                  : -4.9556393883        	 Ni                   : -5.7974409597        	 MgAl2O4              : -5.8510349393        0.20694340705133124 AU
Fe                   : -4.5023976115        	 Mg2SiO4              : -4.7382240724        	 SiO                  : -4.9542008045        	 Ni                   : -5.7946811328        	 MgAl2O4              : -5.8510340465        0.2097702208066023 AU
Fe                   : -4.5020429525        	 Mg2SiO4              : -4.7152533912        	 SiO                  : -5.0451943887        	 Ni                   : -5.7923508031        	 CaAl2Si2O8           : -5.9118100031        0.2126356484112573 AU
Fe                   : -4.501738994         	 Mg2SiO4              : -4.7106915515        	 SiO                  : -5.059186472         	 Ni                   : -5.7903834712        	 CaAl2Si2O8           : -5.8510325764        0.21554021763138478 AU
