1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -0.9999691606        	 Ni                   : -0.9999986095        	 TiN                  : -0.9999999114        	 Zr                   : -1.0                 	 SiC                  : -1.0000011424        0.19076475972781792 AU
Fe                   : -0.9999686998        	 SiC                  : -0.9999871004        	 Ni                   : -0.9999984457        	 TiN                  : -0.999999911         	 Zr                   : -0.9999999996        0.2052802828891569 AU
Fe                   : -0.9999685065        	 SiC                  : -0.9999805282        	 Ni                   : -0.9999983805        	 CaS                  : -0.9999984929        	 TiN                  : -0.9999999109        0.22090031008128336 AU
Fe                   : -0.9999684276        	 SiC                  : -0.9999712303        	 CaS                  : -0.9999982759        	 Ni                   : -0.9999983552        	 Cr                   : -0.9999997614        0.23770888404613766 AU
Fe                   : -0.9999683963        	 SiC                  : -0.9999689819        	 CaS                  : -0.9999981252        	 Ni                   : -0.9999983457        	 Cr                   : -0.9999996407        0.2557964424211845 AU
SiC                  : -0.9999683095        	 Fe                   : -0.9999683842        	 CaS                  : -0.9999980215        	 Ni                   : -0.9999983423        	 Cr                   : -0.9999995927        0.2752603057862546 AU
SiC                  : -0.9999680446        	 Fe                   : -0.9999683797        	 CaS                  : -0.9999979503        	 Ni                   : -0.999998341         	 Cr                   : -0.9999995741        0.2962051984029909 AU
SiC                  : -0.999967913         	 Fe                   : -0.9999683781        	 CaS                  : -0.9999979029        	 Ni                   : -0.9999983406        	 Cr                   : -0.9999995673        0.3187438126272166 AU
SiC                  : -0.9999678414        	 Fe                   : -0.9999683775        	 CaS                  : -0.9999978714        	 Ni                   : -0.9999983405        	 Cr                   : -0.9999995648        0.34299741825299457 AU
SiC                  : -0.9999678011        	 Fe                   : -0.9999683773        	 CaS                  : -0.9999978504        	 Ni                   : -0.9999983404        	 Cr                   : -0.9999995639        0.36909650946080763 AU
SiC                  : -0.9999677778        	 Fe                   : -0.9999683773        	 CaS                  : -0.9999978367        	 Ni                   : -0.9999983404        	 Cr                   : -0.9999995636        0.3971815128754026 AU
