1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.512984414         	 Mg2SiO4              : -4.8117154856        	 SiO                  : -4.9770512287        	 MgAl2O4              : -5.8510511904        	 Ni                   : -5.8719133525        0.292077531750047 AU
Fe                   : -4.5100429514        	 Mg2SiO4              : -4.7853576265        	 SiO                  : -4.9767028148        	 Ni                   : -5.8482732693        	 MgAl2O4              : -5.8510454502        0.2987663550325044 AU
Fe                   : -4.5077512769        	 Mg2SiO4              : -4.7677957223        	 SiO                  : -4.976847547         	 Ni                   : -5.8309138077        	 MgAl2O4              : -5.8510412114        0.3056083580287656 AU
Fe                   : -4.5059686572        	 Mg2SiO4              : -4.7553125114        	 SiO                  : -4.9728980019        	 Ni                   : -5.8180455394        	 MgAl2O4              : -5.851038098         0.31260704900926967 AU
Fe                   : -4.504584636         	 Mg2SiO4              : -4.7467784672        	 SiO                  : -4.9683292868        	 Ni                   : -5.8084495141        	 MgAl2O4              : -5.8510358251        0.31976601602021576 AU
Fe                   : -4.5035123902        	 Mg2SiO4              : -4.716744059         	 SiO                  : -5.07483226          	 Ni                   : -5.8012681911        	 CaAl2Si2O8           : -5.8510341169        0.32708892914930726 AU
Fe                   : -4.5026836411        	 Mg2SiO4              : -4.7129230371        	 SiO                  : -5.0694077974        	 Ni                   : -5.7958841293        	 CaAl2Si2O8           : -5.8510326585        0.33457954292534164 AU
Fe                   : -4.5020447067        	 Mg2SiO4              : -4.7147498138        	 SiO                  : -5.09492926          	 Ni                   : -5.7918452022        	 CaAl2Si2O8           : -5.851031767         0.3422416982556027 AU
Fe                   : -4.5015534216        	 Mg2SiO4              : -4.712998975         	 SiO                  : -5.0904175789        	 Ni                   : -5.7888164291        	 CaAl2Si2O8           : -5.8510311882        0.3500793237766928 AU
Fe                   : -4.5011767136        	 Mg2SiO4              : -4.7118334389        	 SiO                  : -5.086619529         	 Ni                   : -5.7865475618        	 CaAl2Si2O8           : -5.8510307951        0.35809643777285266 AU
Fe                   : -4.5008886896        	 Mg2SiO4              : -4.7110614953        	 SiO                  : -5.0834926727        	 Ni                   : -5.784850637         	 CaAl2Si2O8           : -5.8510305294        0.366297150126132 AU
Fe                   : -4.5006691216        	 Mg2SiO4              : -4.7105527692        	 SiO                  : -5.0809632921        	 Ni                   : -5.783584003         	 CaAl2Si2O8           : -5.8510303506        0.3746856656778486 AU
Fe                   : -4.5005022446        	 Mg2SiO4              : -4.7102191441        	 SiO                  : -5.0789463266        	 Ni                   : -5.7826407267        	 CaAl2Si2O8           : -5.8510302308        0.3832662850392816 AU
Fe                   : -4.500375805         	 Mg2SiO4              : -4.7100014075        	 SiO                  : -5.0773571266        	 Ni                   : -5.7819400455        	 CaAl2Si2O8           : -5.8510301508        0.39204340811933386 AU
Fe                   : -4.5002803041        	 Mg2SiO4              : -4.7098599871        	 SiO                  : -5.0761177526        	 Ni                   : -5.781420991         	 CaAl2Si2O8           : -5.8510300976        0.4010215349321978 AU
Fe                   : -4.5002084011        	 Mg2SiO4              : -4.7118676764        	 SiO                  : -5.0703517251        	 Ni                   : -5.7810375918        	 CaAl2Si2O8           : -5.8510300626        0.41020526851426226 AU
Fe                   : -4.5001544396        	 Mg2SiO4              : -4.7119229972        	 SiO                  : -5.0693640719        	 Ni                   : -5.7807552451        	 CaAl2Si2O8           : -5.8510300393        0.4195993172142761 AU
Fe                   : -4.5001140751        	 Mg2SiO4              : -4.7119613846        	 SiO                  : -5.0686375772        	 Ni                   : -5.7805479615        	 CaAl2Si2O8           : -5.851030024         0.4292084978595474 AU
Fe                   : -4.5000839813        	 Mg2SiO4              : -4.7119878302        	 SiO                  : -5.0681045725        	 Ni                   : -5.7803962694        	 CaAl2Si2O8           : -5.851030014         0.43903773654103373 AU
Fe                   : -4.5000616196        	 Mg2SiO4              : -4.779610444         	 SiO                  : -5.2397075557        	 MgSiO3               : -5.2521416501        	 Ni                   : -5.7802856205        0.4490920735650776 AU
Fe                   : -4.5000450594        	 MgSiO3               : -4.7663609662        	 Mg2SiO4              : -4.9647543324        	 Ni                   : -5.7802051768        	 CaAl2Si2O8           : -5.851030004         0.45937666344280464 AU
Fe                   : -4.5000328376        	 MgSiO3               : -4.7661040472        	 Mg2SiO4              : -4.964975359         	 Ni                   : -5.7801468893        	 CaAl2Si2O8           : -5.8510300012        0.46989677915209227 AU
Fe                   : -4.5000238485        	 MgSiO3               : -4.7659398392        	 Mg2SiO4              : -4.9651161811        	 Ni                   : -5.7801047995        	 CaAl2Si2O8           : -5.8510299993        0.4806578138596835 AU
Fe                   : -4.5000172601        	 MgSiO3               : -4.7658353749        	 Mg2SiO4              : -4.9652054444        	 Ni                   : -5.7800745108        	 CaAl2Si2O8           : -5.8510299981        0.491665285537194 AU
Fe                   : -4.500012448         	 MgSiO3               : -4.7657691293        	 Mg2SiO4              : -4.9652618203        	 Ni                   : -5.7800527896        	 CaAl2Si2O8           : -5.8510299972        0.5029248378406879 AU
Fe                   : -4.5000089459        	 MgSiO3               : -4.7657274157        	 Mg2SiO4              : -4.9652971705        	 Ni                   : -5.7800372681        	 CaAl2Si2O8           : -5.8510299967        0.5144422438845766 AU
Fe                   : -4.5000064062        	 MgSiO3               : -4.7657013039        	 Mg2SiO4              : -4.9653192023        	 Ni                   : -5.7800262166        	 CaAl2Si2O8           : -5.8510299963        0.526223408043677 AU
Fe                   : -4.500004571         	 MgSiO3               : -4.7656850325        	 Mg2SiO4              : -4.9653328676        	 Ni                   : -5.7800183759        	 CaAl2Si2O8           : -5.8510299961        0.5382743698880826 AU
Fe                   : -4.5000032497        	 MgSiO3               : -4.7656749412        	 Mg2SiO4              : -4.9653413014        	 Ni                   : -5.7800128333        	 CaAl2Si2O8           : -5.8510299959        0.5506013107434402 AU
Fe                   : -4.5000023019        	 MgSiO3               : -4.7656687134        	 Mg2SiO4              : -4.9653464798        	 Ni                   : -5.7800089297        	 CaAl2Si2O8           : -5.8510299958        0.5632105475652378 AU
Fe                   : -4.5000016246        	 MgSiO3               : -4.7656648894        	 Mg2SiO4              : -4.9653496425        	 Ni                   : -5.7800061905        	 CaAl2Si2O8           : -5.8510299958        0.5761085477159382 AU
Fe                   : -4.5000011423        	 MgSiO3               : -4.7656625536        	 Mg2SiO4              : -4.9653515637        	 Ni                   : -5.7800042755        	 CaAl2Si2O8           : -5.8510299957        0.5893019214294732 AU
Fe                   : -4.5000008001        	 MgSiO3               : -4.7656611344        	 Mg2SiO4              : -4.9653527241        	 Ni                   : -5.7800029418        	 CaAl2Si2O8           : -5.8510299957        0.6027974363290235 AU
Fe                   : -4.5000005584        	 MgSiO3               : -4.7656602769        	 Mg2SiO4              : -4.965353421         	 Ni                   : -5.7800020164        	 CaAl2Si2O8           : -5.8510299957        0.6166020093140239 AU
Fe                   : -4.5000003882        	 MgSiO3               : -4.7656597617        	 Mg2SiO4              : -4.9653538372        	 Ni                   : -5.7800013769        	 CaAl2Si2O8           : -5.8510299957        0.6307227176494661 AU
Fe                   : -4.5000002688        	 MgSiO3               : -4.7865452946        	 Mg2SiO4              : -4.9493483083        	 Ni                   : -5.7800009366        	 CaAl2Si2O8           : -5.8768438643        0.6451668043028516 AU
Fe                   : -4.5000001855        	 MgSiO3               : -4.840579078         	 Mg2SiO4              : -4.9169868904        	 Ni                   : -5.7800006347        	 CaAl2Si2O8           : -5.9377910051        0.6599416714727578 AU
Fe                   : -4.5000001274        	 MgSiO3               : -4.887083307         	 Mg2SiO4              : -4.8937195262        	 Ni                   : -5.7800004284        	 CaMgSi2O6            : -5.9674271801        0.6750548957736837 AU
Fe                   : -4.5000000872        	 Mg2SiO4              : -4.8767212642        	 MgSiO3               : -4.9263669443        	 Ni                   : -5.780000288         	 CaMgSi2O6            : -5.9281722001        0.6905142263300491 AU
Fe                   : -4.5000000595        	 Mg2SiO4              : -4.8641641898        	 MgSiO3               : -4.9589849563        	 Ni                   : -5.7800001929        	 CaMgSi2O6            : -5.9003942084        0.7063275867917722 AU
Fe                   : -4.5000000404        	 Mg2SiO4              : -4.8548107798        	 MgSiO3               : -4.9856639706        	 Ni                   : -5.7800001287        	 CaMgSi2O6            : -5.8803108963        0.7225030891890933 AU
Fe                   : -4.5000000273        	 Mg2SiO4              : -4.8477950138        	 MgSiO3               : -5.0072214385        	 Ni                   : -5.7800000855        	 CaMgSi2O6            : -5.8655632211        0.7390490230349074 AU
Fe                   : -4.5000000184        	 Mg2SiO4              : -4.8424963662        	 MgSiO3               : -5.0244906364        	 Ni                   : -5.7800000566        	 NaAlSi3O8            : -5.8487988873        0.7559738728391169 AU
Fe                   : -4.5000000124        	 Mg2SiO4              : -4.8384520688        	 MgSiO3               : -5.0382998861        	 Ni                   : -5.7800000373        	 NaAlSi3O8            : -5.8327135972        0.7732863155846437 AU
Fe                   : -4.5000000083        	 Mg2SiO4              : -4.8351413845        	 MgSiO3               : -5.0500408           	 Ni                   : -5.7800000245        	 NaAlSi3O8            : -5.8216434118        0.790995228677091 AU
Fe                   : -4.5000000055        	 Mg2SiO4              : -4.8325275865        	 MgSiO3               : -5.0596055866        	 Ni                   : -5.780000016         	 NaAlSi3O8            : -5.8132452007        0.8091096905946927 AU
Fe                   : -4.5000000037        	 Mg2SiO4              : -4.8304144683        	 MgSiO3               : -5.067538669         	 Ni                   : -5.7800000104        	 NaAlSi3O8            : -5.8067365527        0.8276389892322704 AU
Fe                   : -4.5000000025        	 Mg2SiO4              : -4.8286580018        	 MgSiO3               : -5.0742750887        	 Ni                   : -5.7800000068        	 NaAlSi3O8            : -5.8015647289        0.8465926246217705 AU
