1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5064421514        	 Mg2SiO4              : -4.7706524605        	 SiO                  : -4.9532139455        	 Ni                   : -5.8236975644        	 MgAl2O4              : -5.8510450726        0.292077531750047 AU
Fe                   : -4.5049912582        	 Mg2SiO4              : -4.7573088548        	 SiO                  : -4.9545458611        	 Ni                   : -5.8129215212        	 MgAl2O4              : -5.8510409531        0.2987663550325044 AU
Fe                   : -4.5038574267        	 Mg2SiO4              : -4.7481122157        	 SiO                  : -4.9540768185        	 Ni                   : -5.8048047961        	 MgAl2O4              : -5.8510379271        0.3056083580287656 AU
Fe                   : -4.5029733663        	 Mg2SiO4              : -4.7423465556        	 SiO                  : -4.9551588684        	 Ni                   : -5.7986763981        	 MgAl2O4              : -5.8510357159        0.31260704900926967 AU
Fe                   : -4.5022857234        	 Mg2SiO4              : -4.7380391272        	 SiO                  : -4.9531237995        	 Ni                   : -5.7940444199        	 MgAl2O4              : -5.8510341061        0.31976601602021576 AU
Fe                   : -4.5017522265        	 Mg2SiO4              : -4.7110375403        	 SiO                  : -5.0587167968        	 Ni                   : -5.7905433492        	 CaAl2Si2O8           : -5.8510329138        0.32708892914930726 AU
Fe                   : -4.5013394286        	 Mg2SiO4              : -4.7091158303        	 SiO                  : -5.0561325511        	 Ni                   : -5.7878990018        	 CaAl2Si2O8           : -5.851031876         0.33457954292534164 AU
Fe                   : -4.5010209071        	 Mg2SiO4              : -4.7121793447        	 SiO                  : -5.0834348431        	 Ni                   : -5.7859043395        	 CaAl2Si2O8           : -5.8510312432        0.3422416982556027 AU
Fe                   : -4.500775832         	 Mg2SiO4              : -4.7113020759        	 SiO                  : -5.0812350816        	 Ni                   : -5.7844023745        	 CaAl2Si2O8           : -5.8510308347        0.3500793237766928 AU
Fe                   : -4.500587819         	 Mg2SiO4              : -4.710718816         	 SiO                  : -5.0793709856        	 Ni                   : -5.7832737729        	 CaAl2Si2O8           : -5.8510305577        0.35809643777285266 AU
Fe                   : -4.5004440127        	 Mg2SiO4              : -4.710332906         	 SiO                  : -5.0778290975        	 Ni                   : -5.7824277239        	 CaAl2Si2O8           : -5.8510303706        0.366297150126132 AU
Fe                   : -4.5003343533        	 Mg2SiO4              : -4.7100787932        	 SiO                  : -5.0765775243        	 Ni                   : -5.7817951183        	 CaAl2Si2O8           : -5.8510302448        0.3746856656778486 AU
Fe                   : -4.500250991         	 Mg2SiO4              : -4.7099122631        	 SiO                  : -5.0755769241        	 Ni                   : -5.7813234023        	 CaAl2Si2O8           : -5.8510301606        0.3832662850392816 AU
Fe                   : -4.5001878182        	 Mg2SiO4              : -4.7098036494        	 SiO                  : -5.0747870027        	 Ni                   : -5.7809726661        	 CaAl2Si2O8           : -5.8510301044        0.39204340811933386 AU
Fe                   : -4.5001400971        	 Mg2SiO4              : -4.7097331484        	 SiO                  : -5.0741700648        	 Ni                   : -5.7807126587        	 CaAl2Si2O8           : -5.8510300671        0.4010215349321978 AU
Fe                   : -4.5001041642        	 Mg2SiO4              : -4.711955658         	 SiO                  : -5.068514397         	 Ni                   : -5.7805205011        	 CaAl2Si2O8           : -5.8510300426        0.41020526851426226 AU
Fe                   : -4.5000771955        	 Mg2SiO4              : -4.7119832369        	 SiO                  : -5.0680226493        	 Ni                   : -5.7803789333        	 CaAl2Si2O8           : -5.8510300262        0.4195993172142761 AU
Fe                   : -4.5000570211        	 Mg2SiO4              : -4.7120023602        	 SiO                  : -5.0676606564        	 Ni                   : -5.7802749705        	 CaAl2Si2O8           : -5.8510300155        0.4292084978595474 AU
Fe                   : -4.5000419794        	 Mg2SiO4              : -4.7120155254        	 SiO                  : -5.0673949357        	 Ni                   : -5.7801988722        	 CaAl2Si2O8           : -5.8510300085        0.43903773654103373 AU
Fe                   : -4.500030802         	 Mg2SiO4              : -4.8022238498        	 MgSiO3               : -5.1378916292        	 SiO                  : -5.3074590182        	 Ni                   : -5.7801433542        0.4490920735650776 AU
Fe                   : -4.5000225243        	 MgSiO3               : -4.7660057883        	 Mg2SiO4              : -4.9650578781        	 Ni                   : -5.7801029862        	 CaAl2Si2O8           : -5.8510300015        0.45937666344280464 AU
Fe                   : -4.5000164151        	 MgSiO3               : -4.7658785411        	 Mg2SiO4              : -4.9651674438        	 Ni                   : -5.7800737336        	 CaAl2Si2O8           : -5.8510299995        0.46989677915209227 AU
Fe                   : -4.5000119217        	 MgSiO3               : -4.765797234         	 Mg2SiO4              : -4.9652371925        	 Ni                   : -5.7800526079        	 CaAl2Si2O8           : -5.8510299982        0.4806578138596835 AU
Fe                   : -4.5000086283        	 MgSiO3               : -4.7657455408        	 Mg2SiO4              : -4.9652813597        	 Ni                   : -5.7800374041        	 CaAl2Si2O8           : -5.8510299973        0.491665285537194 AU
Fe                   : -4.5000062228        	 MgSiO3               : -4.765712918         	 Mg2SiO4              : -4.9653091192        	 Ni                   : -5.7800265011        	 CaAl2Si2O8           : -5.8510299968        0.5029248378406879 AU
Fe                   : -4.5000044721        	 MgSiO3               : -4.7656924253        	 Mg2SiO4              : -4.9653264811        	 Ni                   : -5.7800187098        	 CaAl2Si2O8           : -5.8510299964        0.5144422438845766 AU
Fe                   : -4.5000032025        	 MgSiO3               : -4.7656796148        	 Mg2SiO4              : -4.9653372847        	 Ni                   : -5.780013162         	 CaAl2Si2O8           : -5.8510299961        0.526223408043677 AU
Fe                   : -4.5000022851        	 MgSiO3               : -4.7656716472        	 Mg2SiO4              : -4.9653439718        	 Ni                   : -5.7800092259        	 CaAl2Si2O8           : -5.851029996         0.5382743698880826 AU
Fe                   : -4.5000016246        	 MgSiO3               : -4.7656667176        	 Mg2SiO4              : -4.9653480882        	 Ni                   : -5.7800064434        	 CaAl2Si2O8           : -5.8510299959        0.5506013107434402 AU
Fe                   : -4.5000011508        	 MgSiO3               : -4.7656636843        	 Mg2SiO4              : -4.9653506078        	 Ni                   : -5.7800044836        	 CaAl2Si2O8           : -5.8510299958        0.5632105475652378 AU
Fe                   : -4.5000008122        	 MgSiO3               : -4.7656618283        	 Mg2SiO4              : -4.965352141         	 Ni                   : -5.7800031083        	 CaAl2Si2O8           : -5.8510299957        0.5761085477159382 AU
Fe                   : -4.5000005711        	 MgSiO3               : -4.7656606993        	 Mg2SiO4              : -4.9653530683        	 Ni                   : -5.7800021468        	 CaAl2Si2O8           : -5.8510299957        0.5893019214294732 AU
Fe                   : -4.5000004001        	 MgSiO3               : -4.7656600166        	 Mg2SiO4              : -4.9653536256        	 Ni                   : -5.7800014772        	 CaAl2Si2O8           : -5.8510299957        0.6027974363290235 AU
