1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5068804829        	 Mg2SiO4              : -4.7734437574        	 SiO                  : -4.9546172102        	 Ni                   : -5.8267909428        	 MgAl2O4              : -5.8510455689        0.292077531750047 AU
Fe                   : -4.505326756         	 Mg2SiO4              : -4.7591978879        	 SiO                  : -4.9559081373        	 Ni                   : -5.8151969385        	 MgAl2O4              : -5.8510413129        0.2987663550325044 AU
Fe                   : -4.5041136458        	 Mg2SiO4              : -4.7493844116        	 SiO                  : -4.955334485         	 Ni                   : -5.8064841859        	 MgAl2O4              : -5.8510381863        0.3056083580287656 AU
Fe                   : -4.5031685689        	 Mg2SiO4              : -4.7432000787        	 SiO                  : -4.9562792655        	 Ni                   : -5.7999180217        	 MgAl2O4              : -5.8510359017        0.31260704900926967 AU
Fe                   : -4.5024340583        	 Mg2SiO4              : -4.7386076288        	 SiO                  : -4.9540840507        	 Ni                   : -5.79496286          	 MgAl2O4              : -5.8510342385        0.31976601602021576 AU
Fe                   : -4.5018646424        	 Mg2SiO4              : -4.7114046479        	 SiO                  : -5.0597261562        	 Ni                   : -5.7912224609        	 CaAl2Si2O8           : -5.8510330064        0.32708892914930726 AU
Fe                   : -4.5014243841        	 Mg2SiO4              : -4.7093578634        	 SiO                  : -5.0569593732        	 Ni                   : -5.7884006097        	 CaAl2Si2O8           : -5.8510319353        0.33457954292534164 AU
Fe                   : -4.5010849238        	 Mg2SiO4              : -4.7123408594        	 SiO                  : -5.084145015         	 Ni                   : -5.7862742465        	 CaAl2Si2O8           : -5.8510312824        0.3422416982556027 AU
Fe                   : -4.5008239269        	 Mg2SiO4              : -4.711407473         	 SiO                  : -5.0817978214        	 Ni                   : -5.7846746137        	 CaAl2Si2O8           : -5.8510308608        0.3500793237766928 AU
Fe                   : -4.5006238418        	 Mg2SiO4              : -4.7107872549        	 SiO                  : -5.0798112468        	 Ni                   : -5.7834736681        	 CaAl2Si2O8           : -5.851030575         0.35809643777285266 AU
Fe                   : -4.5004709096        	 Mg2SiO4              : -4.7103771312        	 SiO                  : -5.0781698087        	 Ni                   : -5.7825741239        	 CaAl2Si2O8           : -5.8510303821        0.366297150126132 AU
