1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5056514876        	 Mg2SiO4              : -4.765598014         	 SiO                  : -4.9507590336        	 Ni                   : -5.818163244         	 MgAl2O4              : -5.8510441288        0.292077531750047 AU
Fe                   : -4.5046673607        	 Mg2SiO4              : -4.75638769          	 SiO                  : -4.9519469217        	 Ni                   : -5.810887647         	 MgAl2O4              : -5.8510411203        0.29707570910321834 AU
Fe                   : -4.503849131         	 Mg2SiO4              : -4.7494182003        	 SiO                  : -4.9520869974        	 Ni                   : -5.8049972999        	 MgAl2O4              : -5.8510387325        0.30215941820028874 AU
Fe                   : -4.5031697006        	 Mg2SiO4              : -4.7447037631        	 SiO                  : -4.9541015239        	 Ni                   : -5.8002225782        	 MgAl2O4              : -5.8510368436        0.30733012208900296 AU
Fe                   : -4.5026062834        	 Mg2SiO4              : -4.7407415386        	 SiO                  : -4.9530601087        	 Ni                   : -5.7963496083        	 MgAl2O4              : -5.8510353515        0.3125893094143356 AU
Fe                   : -4.5021397265        	 Mg2SiO4              : -4.7377701759        	 SiO                  : -4.9517599277        	 Ni                   : -5.7932074191        	 MgAl2O4              : -5.8510341763        0.31793849490518983 AU
Fe                   : -4.5017539412        	 Mg2SiO4              : -4.735548579         	 SiO                  : -4.950348201         	 Ni                   : -5.7906585121        	 MgAl2O4              : -5.8510332528        0.32337921818784465 AU
Fe                   : -4.5014354234        	 Mg2SiO4              : -4.7098431954        	 SiO                  : -5.0561921111        	 Ni                   : -5.7885917965        	 CaAl2Si2O8           : -5.8510324453        0.32891304639166574 AU
Fe                   : -4.5011728506        	 Mg2SiO4              : -4.70864286          	 SiO                  : -5.0545117946        	 Ni                   : -5.7869172156        	 CaAl2Si2O8           : -5.8510317561        0.33454157178518407 AU
Fe                   : -4.5009567382        	 Mg2SiO4              : -4.7121056359        	 SiO                  : -5.0825476175        	 Ni                   : -5.7855615724        	 CaAl2Si2O8           : -5.8510312841        0.3402664150322032 AU
Fe                   : -4.5007791521        	 Mg2SiO4              : -4.7114361992        	 SiO                  : -5.0810247926        	 Ni                   : -5.7844652788        	 CaAl2Si2O8           : -5.8510309535        0.34608922517002294 AU
Fe                   : -4.5006334635        	 Mg2SiO4              : -4.7109426273        	 SiO                  : -5.0796648131        	 Ni                   : -5.783579772         	 CaAl2Si2O8           : -5.8510307061        0.3520116776187304 AU
Fe                   : -4.5005141423        	 Mg2SiO4              : -4.7105797113        	 SiO                  : -5.0784698678        	 Ni                   : -5.7828654539        	 CaAl2Si2O8           : -5.8510305214        0.3580354783112015 AU
Fe                   : -4.5004165816        	 Mg2SiO4              : -4.7103135853        	 SiO                  : -5.0774336629        	 Ni                   : -5.7822900334        	 CaAl2Si2O8           : -5.8510303839        0.3641623617443274 AU
