1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5095851753        	 Mg2SiO4              : -4.7905227158        	 SiO                  : -4.9639107791        	 Ni                   : -5.8462965992        	 MgAl2O4              : -5.8510483064        0.292077531750047 AU
Fe                   : -4.5074301455        	 Mg2SiO4              : -4.7709483994        	 SiO                  : -4.9648093286        	 Ni                   : -5.8296898217        	 MgAl2O4              : -5.8510433343        0.2987663550325044 AU
Fe                   : -4.5057461812        	 Mg2SiO4              : -4.7580024346        	 SiO                  : -4.9662141548        	 Ni                   : -5.8173089035        	 MgAl2O4              : -5.8510396703        0.3056083580287656 AU
Fe                   : -4.5044328635        	 Mg2SiO4              : -4.7486975201        	 SiO                  : -4.9636569737        	 Ni                   : -5.8080277893        	 MgAl2O4              : -5.851036983         0.31260704900926967 AU
Fe                   : -4.5034108376        	 Mg2SiO4              : -4.7423342387        	 SiO                  : -4.960479539         	 Ni                   : -5.8010477706        	 MgAl2O4              : -5.851035023         0.31976601602021576 AU
Fe                   : -4.5026173757        	 Mg2SiO4              : -4.7138527625        	 SiO                  : -5.0665548383        	 Ni                   : -5.7957897252        	 CaAl2Si2O8           : -5.8510335609        0.32708892914930726 AU
Fe                   : -4.5020029164        	 Mg2SiO4              : -4.7110005177        	 SiO                  : -5.0626338188        	 Ni                   : -5.7918270493        	 CaAl2Si2O8           : -5.8510322977        0.33457954292534164 AU
Fe                   : -4.5015283387        	 Mg2SiO4              : -4.7134563753        	 SiO                  : -5.0890955829        	 Ni                   : -5.7888418824        	 CaAl2Si2O8           : -5.8510315259        0.3422416982556027 AU
Fe                   : -4.5011628105        	 Mg2SiO4              : -4.712148222         	 SiO                  : -5.0857826088        	 Ni                   : -5.7865955487        	 CaAl2Si2O8           : -5.851031026         0.3500793237766928 AU
Fe                   : -4.5008820771        	 Mg2SiO4              : -4.7112767141        	 SiO                  : -5.0829794154        	 Ni                   : -5.7849078869        	 CaAl2Si2O8           : -5.8510306866        0.35809643777285266 AU
Fe                   : -4.5006670995        	 Mg2SiO4              : -4.7106989849        	 SiO                  : -5.0806623288        	 Ni                   : -5.7836424738        	 CaAl2Si2O8           : -5.8510304572        0.366297150126132 AU
Fe                   : -4.5005029694        	 Mg2SiO4              : -4.7103178676        	 SiO                  : -5.078781781         	 Ni                   : -5.7826958363        	 CaAl2Si2O8           : -5.8510303027        0.3746856656778486 AU
Fe                   : -4.5003780429        	 Mg2SiO4              : -4.7100676613        	 SiO                  : -5.0772779765        	 Ni                   : -5.7819894585        	 CaAl2Si2O8           : -5.8510301991        0.3832662850392816 AU
Fe                   : -4.5002832517        	 Mg2SiO4              : -4.7099041851        	 SiO                  : -5.076090189         	 Ni                   : -5.7814637905        	 CaAl2Si2O8           : -5.8510301299        0.39204340811933386 AU
Fe                   : -4.5002115533        	 Mg2SiO4              : -4.7097978859        	 SiO                  : -5.075161836         	 Ni                   : -5.78107372          	 CaAl2Si2O8           : -5.8510300839        0.4010215349321978 AU
Fe                   : -4.5001574953        	 Mg2SiO4              : -4.7119105901        	 SiO                  : -5.0694539206        	 Ni                   : -5.7807851307        	 CaAl2Si2O8           : -5.8510300537        0.41020526851426226 AU
Fe                   : -4.5001168696        	 Mg2SiO4              : -4.7119522592        	 SiO                  : -5.0687114293        	 Ni                   : -5.7805722773        	 CaAl2Si2O8           : -5.8510300335        0.4195993172142761 AU
Fe                   : -4.5000864385        	 Mg2SiO4              : -4.711981206         	 SiO                  : -5.0681643157        	 Ni                   : -5.7804157789        	 CaAl2Si2O8           : -5.8510300203        0.4292084978595474 AU
Fe                   : -4.5000637193        	 Mg2SiO4              : -4.7120011707        	 SiO                  : -5.0677622623        	 Ni                   : -5.7803010856        	 CaAl2Si2O8           : -5.8510300116        0.43903773654103373 AU
Fe                   : -4.5000468143        	 Mg2SiO4              : -4.7849863937        	 MgSiO3               : -5.2215855438        	 SiO                  : -5.2549857783        	 Ni                   : -5.7802173055        0.4490920735650776 AU
Fe                   : -4.5000342781        	 MgSiO3               : -4.7661914451        	 Mg2SiO4              : -4.9648991414        	 Ni                   : -5.7801563103        	 CaAl2Si2O8           : -5.8510300029        0.45937666344280464 AU
Fe                   : -4.5000250134        	 MgSiO3               : -4.7659969009        	 Mg2SiO4              : -4.9650665945        	 Ni                   : -5.7801120534        	 CaAl2Si2O8           : -5.8510300005        0.46989677915209227 AU
Fe                   : -4.50001819          	 MgSiO3               : -4.7658724214        	 Mg2SiO4              : -4.9651733771        	 Ni                   : -5.7800800511        	 CaAl2Si2O8           : -5.8510299988        0.4806578138596835 AU
Fe                   : -4.5000131821        	 MgSiO3               : -4.7657930871        	 Mg2SiO4              : -4.9652411729        	 Ni                   : -5.7800569896        	 CaAl2Si2O8           : -5.8510299977        0.491665285537194 AU
Fe                   : -4.5000095194        	 MgSiO3               : -4.765742766         	 Mg2SiO4              : -4.9652839983        	 Ni                   : -5.7800404291        	 CaAl2Si2O8           : -5.851029997         0.5029248378406879 AU
Fe                   : -4.5000068502        	 MgSiO3               : -4.7657110864        	 Mg2SiO4              : -4.9653108462        	 Ni                   : -5.7800285795        	 CaAl2Si2O8           : -5.8510299966        0.5144422438845766 AU
Fe                   : -4.5000049119        	 MgSiO3               : -4.7656912322        	 Mg2SiO4              : -4.9653275974        	 Ni                   : -5.7800201309        	 CaAl2Si2O8           : -5.8510299962        0.526223408043677 AU
Fe                   : -4.5000035094        	 MgSiO3               : -4.7656788478        	 Mg2SiO4              : -4.9653379973        	 Ni                   : -5.7800141288        	 CaAl2Si2O8           : -5.851029996         0.5382743698880826 AU
Fe                   : -4.5000024983        	 MgSiO3               : -4.7656711605        	 Mg2SiO4              : -4.9653444209        	 Ni                   : -5.7800098802        	 CaAl2Si2O8           : -5.8510299959        0.5506013107434402 AU
Fe                   : -4.500001772         	 MgSiO3               : -4.765666413         	 Mg2SiO4              : -4.9653483677        	 Ni                   : -5.7800068839        	 CaAl2Si2O8           : -5.8510299958        0.5632105475652378 AU
Fe                   : -4.5000012522        	 MgSiO3               : -4.7656634963        	 Mg2SiO4              : -4.9653507793        	 Ni                   : -5.7800047785        	 CaAl2Si2O8           : -5.8510299958        0.5761085477159382 AU
Fe                   : -4.5000008816        	 MgSiO3               : -4.765661714         	 Mg2SiO4              : -4.9653522448        	 Ni                   : -5.7800033046        	 CaAl2Si2O8           : -5.8510299957        0.5893019214294732 AU
Fe                   : -4.5000006184        	 MgSiO3               : -4.7656606308        	 Mg2SiO4              : -4.9653531301        	 Ni                   : -5.7800022767        	 CaAl2Si2O8           : -5.8510299957        0.6027974363290235 AU
Fe                   : -4.5000004321        	 MgSiO3               : -4.7656599764        	 Mg2SiO4              : -4.9653536618        	 Ni                   : -5.7800015626        	 CaAl2Si2O8           : -5.8510299957        0.6166020093140239 AU
Fe                   : -4.5000003008        	 MgSiO3               : -4.7847051003        	 Mg2SiO4              : -4.9521424221        	 Ni                   : -5.7800010684        	 CaAl2Si2O8           : -5.8721552697        0.6307227176494661 AU
Fe                   : -4.5000002086        	 MgSiO3               : -4.8363285258        	 Mg2SiO4              : -4.9193081113        	 Ni                   : -5.7800007278        	 CaAl2Si2O8           : -5.9329606003        0.6451668043028516 AU
Fe                   : -4.5000001441        	 MgSiO3               : -4.8829913766        	 Mg2SiO4              : -4.8956212136        	 Ni                   : -5.7800004939        	 CaMgSi2O6            : -5.9719477351        0.6599416714727578 AU
Fe                   : -4.5000000992        	 Mg2SiO4              : -4.8782645315        	 MgSiO3               : -4.9225838631        	 Ni                   : -5.7800003338        	 CaMgSi2O6            : -5.9316547372        0.6750548957736837 AU
Fe                   : -4.500000068         	 Mg2SiO4              : -4.8654032147        	 MgSiO3               : -4.9556119527        	 Ni                   : -5.7800002247        	 CaMgSi2O6            : -5.9030923985        0.6905142263300491 AU
Fe                   : -4.5000000464        	 Mg2SiO4              : -4.8557936401        	 MgSiO3               : -4.9827544532        	 Ni                   : -5.7800001507        	 CaMgSi2O6            : -5.8823981549        0.7063275867917722 AU
Fe                   : -4.5000000316        	 Mg2SiO4              : -4.848564443         	 MgSiO3               : -5.004786907         	 Ni                   : -5.7800001007        	 CaMgSi2O6            : -5.8671678924        0.7225030891890933 AU
Fe                   : -4.5000000214        	 Mg2SiO4              : -4.8430900605        	 MgSiO3               : -5.0225105112        	 Ni                   : -5.780000067         	 NaAlSi3O8            : -5.8512134394        0.7390490230349074 AU
Fe                   : -4.5000000144        	 Mg2SiO4              : -4.8389137662        	 MgSiO3               : -5.0366944457        	 Ni                   : -5.7800000444        	 NaAlSi3O8            : -5.8344389105        0.7559738728391169 AU
Fe                   : -4.5000000097        	 Mg2SiO4              : -4.8354959688        	 MgSiO3               : -5.0487636979        	 Ni                   : -5.7800000293        	 NaAlSi3O8            : -5.8228221989        0.7732863155846437 AU
Fe                   : -4.5000000065        	 Mg2SiO4              : -4.8327835943        	 MgSiO3               : -5.0586568375        	 Ni                   : -5.7800000193        	 NaAlSi3O8            : -5.8140778649        0.790995228677091 AU
Fe                   : -4.5000000044        	 Mg2SiO4              : -4.8305939596        	 MgSiO3               : -5.0668576488        	 Ni                   : -5.7800000126        	 NaAlSi3O8            : -5.8073063086        0.8091096905946927 AU
Fe                   : -4.5000000029        	 Mg2SiO4              : -4.8287789245        	 MgSiO3               : -5.0738070809        	 Ni                   : -5.7800000082        	 NaAlSi3O8            : -5.80193642          0.8276389892322704 AU
Fe                   : -4.500000002         	 Mg2SiO4              : -4.8272300799        	 MgSiO3               : -5.0798500633        	 Ni                   : -5.7800000054        	 NaAlSi3O8            : -5.7975607277        0.8465926246217705 AU
Fe                   : -4.5000000013        	 Mg2SiO4              : -4.8258690981        	 MgSiO3               : -5.0852485508        	 Ni                   : -5.7800000035        	 NaAlSi3O8            : -5.7938883249        0.8659803135740463 AU
Fe                   : -4.5000000009        	 Mg2SiO4              : -4.8246405733        	 MgSiO3               : -5.0901947454        	 Ni                   : -5.7800000022        	 NaAlSi3O8            : -5.7907130474        0.88581199900022 AU
Fe                   : -4.5000000006        	 Mg2SiO4              : -4.8235066118        	 MgSiO3               : -5.0948233975        	 Ni                   : -5.7800000014        	 NaAlSi3O8            : -5.7878911907        0.9060978459480199 AU
Fe                   : -4.5000000005        	 Mg2SiO4              : -4.8224426535        	 MgSiO3               : -5.0992228033        	 Ni                   : -5.7800000009        	 NaAlSi3O8            : -5.7853253801        0.9268482555627475 AU
Fe                   : -4.5000000003        	 Mg2SiO4              : -4.8214341616        	 MgSiO3               : -5.1034445164        	 Ni                   : -5.7800000006        	 NaAlSi3O8            : -5.7829525167        0.9480738657630978 AU
Fe                   : -4.5000000003        	 Mg2SiO4              : -4.8204739342        	 MgSiO3               : -5.1075119407        	 Ni                   : -5.7800000004        	 NaAlSi3O8            : -5.7807344993        0.9697855641488756 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8195598784        	 MgSiO3               : -5.1114279802        	 NaAlSi3O8            : -5.7786509151        	 Ni                   : -5.7800000002        0.9919944755349194 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8189921632        	 MgSiO3               : -5.1134107906        	 NaAlSi3O8            : -5.7766933361        	 Ni                   : -5.7800000002        1.0147119905620507 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8205648708        	 MgSiO3               : -5.1029722408        	 NaAlSi3O8            : -5.7748610642        	 Ni                   : -5.7800000001        1.03794975596527 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8211096006        	 MgSiO3               : -5.0986869391        	 NaAlSi3O8            : -5.7731551806        	 Ni                   : -5.7800000001        1.0617196855162012 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8210586298        	 MgSiO3               : -5.0978965324        	 NaAlSi3O8            : -5.7715793068        	 Ni                   : -5.78                1.0860339690790037 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.820713482         	 MgSiO3               : -5.0988666966        	 NaAlSi3O8            : -5.77013616          	 Ni                   : -5.78                1.1109050697347753 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8202562376        	 MgSiO3               : -5.1005721369        	 NaAlSi3O8            : -5.7688265001        	 Ni                   : -5.78                1.1363457388033071 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.819780905         	 MgSiO3               : -5.1024822039        	 NaAlSi3O8            : -5.7676486732        	 Ni                   : -5.78                1.1623690193094167 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8193301131        	 MgSiO3               : -5.104351038         	 NaAlSi3O8            : -5.7665985993        	 Ni                   : -5.78                1.1889882559113194 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.818920659         	 MgSiO3               : -5.1060759546        	 NaAlSi3O8            : -5.765670057         	 Ni                   : -5.78                1.2162170948555375 AU
Fe                   : -4.5000000002        	 Mg2SiO4              : -4.8227982016        	 MgSiO3               : -5.083661631         	 NaAlSi3O8            : -5.7648558348        	 Ni                   : -5.78                1.2440695012235408 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8243629252        	 MgSiO3               : -5.0747393419        	 NaAlSi3O8            : -5.7641456234        	 Ni                   : -5.78                1.272559747814737 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8247320024        	 MgSiO3               : -5.0723767053        	 NaAlSi3O8            : -5.7635300434        	 Ni                   : -5.78                1.3017024478959855 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8247136135        	 MgSiO3               : -5.0721327076        	 NaAlSi3O8            : -5.7629993535        	 Ni                   : -5.78                1.331512536225964 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8245835752        	 MgSiO3               : -5.0725302009        	 NaAlSi3O8            : -5.7625438777        	 Ni                   : -5.78                1.362005303758635 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8244337165        	 MgSiO3               : -5.0730766846        	 NaAlSi3O8            : -5.7621543726        	 Ni                   : -5.78                1.3931963815657327 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8242929707        	 MgSiO3               : -5.0736130065        	 NaAlSi3O8            : -5.7618222467        	 Ni                   : -5.78                1.4251017603940916 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8241689993        	 MgSiO3               : -5.0740930461        	 NaAlSi3O8            : -5.7615396829        	 Ni                   : -5.78                1.4577377989326947 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8240624417        	 MgSiO3               : -5.074508507         	 NaAlSi3O8            : -5.7612996925        	 Ni                   : -5.78                1.4911212322551939 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8239717824        	 MgSiO3               : -5.0748631705        	 NaAlSi3O8            : -5.7610961163        	 Ni                   : -5.78                1.5252691755157706 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8238950019        	 MgSiO3               : -5.0751641013        	 NaAlSi3O8            : -5.7609235897        	 Ni                   : -5.78                1.5601991319556858 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8238301218        	 MgSiO3               : -5.0754186917        	 NaAlSi3O8            : -5.7607774826        	 Ni                   : -5.78                1.5959290167539295 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8237753681        	 MgSiO3               : -5.0756337266        	 NaAlSi3O8            : -5.760653826         	 Ni                   : -5.78                1.6324771461117487 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8237292023        	 MgSiO3               : -5.0758151502        	 NaAlSi3O8            : -5.7605492339        	 Ni                   : -5.78                1.669862261621078 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.823690309         	 MgSiO3               : -5.0759680722        	 NaAlSi3O8            : -5.7604608255        	 Ni                   : -5.78                1.7081035232710353 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8236575703        	 MgSiO3               : -5.0760968492        	 NaAlSi3O8            : -5.7603861538        	 Ni                   : -5.78                1.7472205410658728 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8236300383        	 MgSiO3               : -5.0762051837        	 NaAlSi3O8            : -5.7603231404        	 Ni                   : -5.78                1.7872333743650521 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8236069094        	 MgSiO3               : -5.0762962188        	 NaAlSi3O8            : -5.7602700196        	 Ni                   : -5.78                1.8281625355543332 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8235875025        	 MgSiO3               : -5.0763726226        	 NaAlSi3O8            : -5.7602252901        	 Ni                   : -5.78                1.8700290123241237 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.82357124          	 MgSiO3               : -5.0764366603        	 NaAlSi3O8            : -5.7601876749        	 Ni                   : -5.78                1.9128542655204248 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8235576316        	 MgSiO3               : -5.0764902557        	 NaAlSi3O8            : -5.7601560864        	 Ni                   : -5.78                1.956660252577887 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8235462615        	 MgSiO3               : -5.0765350426        	 NaAlSi3O8            : -5.7601295988        	 Ni                   : -5.78                2.0014694321164077 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8235367764        	 MgSiO3               : -5.0765724084        	 NaAlSi3O8            : -5.7601074232        	 Ni                   : -5.78                2.047304774865653 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8235288771        	 MgSiO3               : -5.0766035304        	 NaAlSi3O8            : -5.7600888883        	 Ni                   : -5.78                2.09418979779276 AU
Fe                   : -4.5092652301        	 Mg2SiO4              : -4.8235223096        	 MgSiO3               : -5.0766294073        	 NaAlSi3O8            : -5.7600734226        	 Ni                   : -5.78                2.1421485157129028 AU
Fe                   : -4.5322165259        	 Mg2SiO4              : -4.8183571318        	 MgSiO3               : -5.1005384749        	 FeS                  : -5.6457142963        	 NaAlSi3O8            : -5.7600605621        2.191205536551692 AU
Fe                   : -4.5502370411        	 Mg2SiO4              : -4.818352668         	 MgSiO3               : -5.100557282         	 FeS                  : -5.4616366748        	 NaAlSi3O8            : -5.7600498472        2.2413860047472207 AU
Fe                   : -4.56712091          	 Mg2SiO4              : -4.8183489767        	 MgSiO3               : -5.1005728351        	 FeS                  : -5.3440547815        	 NaAlSi3O8            : -5.7600409543        2.29271564415342 AU
Fe                   : -4.5828781821        	 Mg2SiO4              : -4.8183459298        	 MgSiO3               : -5.1005856736        	 FeS                  : -5.2601243866        	 NaAlSi3O8            : -5.760033587         2.345220780488489 AU
Fe                   : -4.5975270094        	 Mg2SiO4              : -4.8183434195        	 MgSiO3               : -5.1005962512        	 FeS                  : -5.1965107472        	 NaAlSi3O8            : -5.760027495         2.3989283286887892 AU
Fe                   : -4.6110930685        	 Mg2SiO4              : -4.8183413552        	 MgSiO3               : -5.1006049499        	 FeS                  : -5.1464604553        	 NaAlSi3O8            : -5.760022467         2.4538658232323547 AU
Fe                   : -4.6236088215        	 Mg2SiO4              : -4.8183396609        	 MgSiO3               : -5.1006120897        	 FeS                  : -5.1060743479        	 NaAlSi3O8            : -5.7600183249        2.5100614324095956 AU
