1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5021820401        	 Mg2SiO4              : -4.7430177249        	 SiO                  : -4.9412918396        	 Ni                   : -5.7945231088        	 MgAl2O4              : -5.851038761         0.22911560746445167 AU
Fe                   : -4.5018774591        	 Mg2SiO4              : -4.7400829509        	 SiO                  : -4.9419048685        	 Ni                   : -5.7923394543        	 MgAl2O4              : -5.8510372317        0.23161595188699716 AU
Fe                   : -4.5016138081        	 Mg2SiO4              : -4.7377344723        	 SiO                  : -4.9421679131        	 Ni                   : -5.7904770761        	 MgAl2O4              : -5.8510359621        0.23414358286847448 AU
Fe                   : -4.5013858037        	 Mg2SiO4              : -4.7358586848        	 SiO                  : -4.9421747975        	 Ni                   : -5.7888892843        	 MgAl2O4              : -5.8510349093        0.23669879793777898 AU
Fe                   : -4.5011888171        	 Mg2SiO4              : -4.7348909637        	 SiO                  : -4.9445447871        	 Ni                   : -5.7875362293        	 MgAl2O4              : -5.8510340381        0.23928189795041754 AU
Fe                   : -4.5010187961        	 Mg2SiO4              : -4.7336989096        	 SiO                  : -4.9442475127        	 Ni                   : -5.7863838531        	 MgAl2O4              : -5.8510333171        0.241893187791449 AU
Fe                   : -4.500872196         	 Mg2SiO4              : -4.7327519812        	 SiO                  : -4.9438729606        	 Ni                   : -5.7854030175        	 MgAl2O4              : -5.8510327215        0.2445329744495457 AU
Fe                   : -4.5007459184        	 Mg2SiO4              : -4.7320011043        	 SiO                  : -4.9434556752        	 Ni                   : -5.7845687759        	 MgAl2O4              : -5.8510322301        0.24720156900359785 AU
Fe                   : -4.5006372572        	 Mg2SiO4              : -4.7074177362        	 SiO                  : -5.0487615011        	 Ni                   : -5.7838597601        	 CaAl2Si2O8           : -5.8510318339        0.24989928602290876 AU
Fe                   : -4.5005438524        	 Mg2SiO4              : -4.7069598261        	 SiO                  : -5.0482332741        	 Ni                   : -5.7832576643        	 CaAl2Si2O8           : -5.8510314079        0.25262644360949454 AU
Fe                   : -4.5004636459        	 Mg2SiO4              : -4.7065985921        	 SiO                  : -5.0477173321        	 Ni                   : -5.7827468037        	 CaAl2Si2O8           : -5.8510310788        0.25538336236243364 AU
Fe                   : -4.5003948456        	 Mg2SiO4              : -4.7106415703        	 SiO                  : -5.0764492928        	 Ni                   : -5.782313743         	 CaAl2Si2O8           : -5.8510308399        0.2581703678905813 AU
Fe                   : -4.5003358926        	 Mg2SiO4              : -4.7104140798        	 SiO                  : -5.075960253         	 Ni                   : -5.7819469761        	 CaAl2Si2O8           : -5.8510306619        0.2609877876310002 AU
Fe                   : -4.5002854319        	 Mg2SiO4              : -4.7102355536        	 SiO                  : -5.075509029         	 Ni                   : -5.7816366535        	 CaAl2Si2O8           : -5.8510305206        0.26383595413950944 AU
Fe                   : -4.500242287         	 Mg2SiO4              : -4.7100956961        	 SiO                  : -5.075097719         	 Ni                   : -5.7813743483        	 CaAl2Si2O8           : -5.8510304087        0.2667152029535531 AU
Fe                   : -4.5002054378        	 Mg2SiO4              : -4.7099863225        	 SiO                  : -5.0747265426        	 Ni                   : -5.7811528552        	 CaAl2Si2O8           : -5.8510303201        0.26962587257483933 AU
Fe                   : -4.5001740003        	 Mg2SiO4              : -4.7099009379        	 SiO                  : -5.0743944158        	 Ni                   : -5.7809660174        	 CaAl2Si2O8           : -5.8510302502        0.27256830682781796 AU
Fe                   : -4.5001472096        	 Mg2SiO4              : -4.7098343979        	 SiO                  : -5.0740993889        	 Ni                   : -5.7808085787        	 CaAl2Si2O8           : -5.8510301951        0.27554285180919347 AU
Fe                   : -4.5001244044        	 Mg2SiO4              : -4.7097826351        	 SiO                  : -5.0738389758        	 Ni                   : -5.7806760548        	 CaAl2Si2O8           : -5.8510301516        0.2785498582600313 AU
Fe                   : -4.5001050137        	 Mg2SiO4              : -4.7097424395        	 SiO                  : -5.0736103981        	 Ni                   : -5.7805646241        	 CaAl2Si2O8           : -5.8510301175        0.2815896800116132 AU
Fe                   : -4.500088545         	 Mg2SiO4              : -4.7097112822        	 SiO                  : -5.0734107618        	 Ni                   : -5.7804710322        	 CaAl2Si2O8           : -5.8510300906        0.28466267565562076 AU
Fe                   : -4.5000745739        	 Mg2SiO4              : -4.7096871747        	 SiO                  : -5.0732371832        	 Ni                   : -5.7803925106        	 CaAl2Si2O8           : -5.8510300696        0.28776920650807924 AU
