1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5021119003        	 Mg2SiO4              : -4.7425509443        	 SiO                  : -4.9411273694        	 Ni                   : -5.7940550338        	 MgAl2O4              : -5.851038616         0.1322799576451458 AU
Fe                   : -4.5018128537        	 Mg2SiO4              : -4.7396845506        	 SiO                  : -4.9417101031        	 Ni                   : -5.791914618         	 MgAl2O4              : -5.8510371032        0.13348184702052834 AU
Fe                   : -4.5015546252        	 Mg2SiO4              : -4.7373965931        	 SiO                  : -4.941951694         	 Ni                   : -5.7900933462        	 MgAl2O4              : -5.8510358487        0.13469465681895576 AU
Fe                   : -4.5013318551        	 Mg2SiO4              : -4.7355737844        	 SiO                  : -4.9419451238        	 Ni                   : -5.7885442045        	 MgAl2O4              : -5.85103481          0.135918486142823 AU
Fe                   : -4.5011398603        	 Mg2SiO4              : -4.7346516019        	 SiO                  : -4.9443073652        	 Ni                   : -5.7872271569        	 MgAl2O4              : -5.8510339514        0.1371534350336698 AU
Fe                   : -4.5009745521        	 Mg2SiO4              : -4.7334991174        	 SiO                  : -4.9440093725        	 Ni                   : -5.7861080632        	 MgAl2O4              : -5.8510332418        0.13839960479828448 AU
Fe                   : -4.5008323633        	 Mg2SiO4              : -4.732585967         	 SiO                  : -4.9436388336        	 Ni                   : -5.785157782         	 MgAl2O4              : -5.8510326563        0.13965709708008198 AU
Fe                   : -4.5007101843        	 Mg2SiO4              : -4.7318637355        	 SiO                  : -4.9432292419        	 Ni                   : -5.7843514217        	 MgAl2O4              : -5.8510321739        0.1409260147992506 AU
Fe                   : -4.5006053063        	 Mg2SiO4              : -4.7073071961        	 SiO                  : -5.0484915669        	 Ni                   : -5.7836677111        	 CaAl2Si2O8           : -5.851031783         0.14220646185620278 AU
Fe                   : -4.5005153736        	 Mg2SiO4              : -4.7068690437        	 SiO                  : -5.0479780248        	 Ni                   : -5.7830884706        	 CaAl2Si2O8           : -5.8510313669        0.1434985431421464 AU
Fe                   : -4.5004383368        	 Mg2SiO4              : -4.7065242994        	 SiO                  : -5.047478523         	 Ni                   : -5.7825981608        	 CaAl2Si2O8           : -5.8510310458        0.1448023640401868 AU
Fe                   : -4.5003724167        	 Mg2SiO4              : -4.7105799047        	 SiO                  : -5.0762132498        	 Ni                   : -5.7821835028        	 CaAl2Si2O8           : -5.8510308136        0.14611803160538603 AU
Fe                   : -4.5003160694        	 Mg2SiO4              : -4.7103639453        	 SiO                  : -5.0757431325        	 Ni                   : -5.7818331524        	 CaAl2Si2O8           : -5.8510306401        0.1474456530511941 AU
Fe                   : -4.5002679566        	 Mg2SiO4              : -4.7101949193        	 SiO                  : -5.0753107665        	 Ni                   : -5.7815374223        	 CaAl2Si2O8           : -5.8510305027        0.1487853372937608 AU
Fe                   : -4.5002269197        	 Mg2SiO4              : -4.7100628594        	 SiO                  : -5.0749178565        	 Ni                   : -5.7812880448        	 CaAl2Si2O8           : -5.851030394         0.15013719393342956 AU
Fe                   : -4.5001919562        	 Mg2SiO4              : -4.709959863         	 SiO                  : -5.0745643333        	 Ni                   : -5.7810779682        	 CaAl2Si2O8           : -5.8510303082        0.15150133323979056 AU
Fe                   : -4.5001622003        	 Mg2SiO4              : -4.7098796763        	 SiO                  : -5.0742489111        	 Ni                   : -5.7809011821        	 CaAl2Si2O8           : -5.8510302405        0.15287786724735344 AU
Fe                   : -4.5001369045        	 Mg2SiO4              : -4.7098173591        	 SiO                  : -5.0739695094        	 Ni                   : -5.780752568         	 CaAl2Si2O8           : -5.8510301871        0.15426690831575404 AU
Fe                   : -4.5001154242        	 Mg2SiO4              : -4.7097690164        	 SiO                  : -5.0737235683        	 Ni                   : -5.7806277704        	 CaAl2Si2O8           : -5.8510301452        0.15566857023087713 AU
Fe                   : -4.5000972046        	 Mg2SiO4              : -4.7097315823        	 SiO                  : -5.0735082802        	 Ni                   : -5.7805230862        	 CaAl2Si2O8           : -5.8510301122        0.15708296746885356 AU
Fe                   : -4.5000817682        	 Mg2SiO4              : -4.7097026485        	 SiO                  : -5.0733207563        	 Ni                   : -5.7804353705        	 CaAl2Si2O8           : -5.8510300864        0.15851021596417875 AU
Fe                   : -4.5000687047        	 Mg2SiO4              : -4.709680326         	 SiO                  : -5.0731581434        	 Ni                   : -5.7803619546        	 CaAl2Si2O8           : -5.8510300662        0.15995043215279806 AU
Fe                   : -4.5000576622        	 Mg2SiO4              : -4.7096631365        	 SiO                  : -5.0730177029        	 Ni                   : -5.7803005763        	 CaAl2Si2O8           : -5.8510300504        0.16140373435437988 AU
Fe                   : -4.5000483387        	 Mg2SiO4              : -4.7096499246        	 SiO                  : -5.0728968608        	 Ni                   : -5.7802493202        	 CaAl2Si2O8           : -5.8510300381        0.1628702409961039 AU
Fe                   : -4.5000404757        	 Mg2SiO4              : -4.7120087901        	 SiO                  : -5.0673952176        	 Ni                   : -5.7802065659        	 CaAl2Si2O8           : -5.8510300286        0.16435007242195918 AU
Fe                   : -4.5000338523        	 Mg2SiO4              : -4.7120157497        	 SiO                  : -5.0672742015        	 Ni                   : -5.7801709445        	 CaAl2Si2O8           : -5.8510300211        0.165843349274846 AU
Fe                   : -4.5000282795        	 Mg2SiO4              : -4.7120213438        	 SiO                  : -5.0671733985        	 Ni                   : -5.7801413004        	 CaAl2Si2O8           : -5.8510300153        0.1673501941596796 AU
Fe                   : -4.5000235964        	 Mg2SiO4              : -4.7120258275        	 SiO                  : -5.0670895268        	 Ni                   : -5.7801166596        	 CaAl2Si2O8           : -5.8510300108        0.16887073019506618 AU
Fe                   : -4.5000196654        	 Mg2SiO4              : -4.7120294111        	 SiO                  : -5.0670198203        	 Ni                   : -5.7800962018        	 CaAl2Si2O8           : -5.8510300073        0.1704050816388653 AU
Fe                   : -4.5000163698        	 Mg2SiO4              : -4.7120322673        	 SiO                  : -5.0669619508        	 Ni                   : -5.7800792371        	 CaAl2Si2O8           : -5.8510300046        0.17195337412236184 AU
Fe                   : -4.5000136102        	 Mg2SiO4              : -4.7120345375        	 SiO                  : -5.0669139613        	 Ni                   : -5.7800651858        	 CaAl2Si2O8           : -5.8510300025        0.17351573445029136 AU
Fe                   : -4.5000113021        	 Mg2SiO4              : -4.8616785252        	 MgSiO3               : -4.9464103865        	 SiO                  : -5.5351879574        	 Ni                   : -5.7800535617        0.17509229015160285 AU
Fe                   : -4.500009374         	 MgSiO3               : -4.7658051915        	 Mg2SiO4              : -4.9652294007        	 Ni                   : -5.7800439569        	 CaAl2Si2O8           : -5.85103             0.17668317039130624 AU
Fe                   : -4.5000077655        	 MgSiO3               : -4.7657695878        	 Mg2SiO4              : -4.9652600988        	 Ni                   : -5.7800360303        	 CaAl2Si2O8           : -5.851029999         0.1782885053039725 AU
Fe                   : -4.5000064251        	 MgSiO3               : -4.7657424858        	 Mg2SiO4              : -4.9652834113        	 Ni                   : -5.7800294969        	 CaAl2Si2O8           : -5.8510299983        0.1799084262282093 AU
Fe                   : -4.5000053096        	 MgSiO3               : -4.7657218948        	 Mg2SiO4              : -4.9653010794        	 Ni                   : -5.7800241185        	 CaAl2Si2O8           : -5.8510299977        0.18154306571756568 AU
Fe                   : -4.5000043823        	 MgSiO3               : -4.7657062816        	 Mg2SiO4              : -4.9653144416        	 Ni                   : -5.7800196963        	 CaAl2Si2O8           : -5.8510299972        0.1831925575514857 AU
Fe                   : -4.5000036125        	 MgSiO3               : -4.7656944672        	 Mg2SiO4              : -4.9653245257        	 Ni                   : -5.780016065         	 CaAl2Si2O8           : -5.8510299969        0.18485703649523832 AU
Fe                   : -4.5000029742        	 MgSiO3               : -4.7656855462        	 Mg2SiO4              : -4.965332119         	 Ni                   : -5.7800130867        	 CaAl2Si2O8           : -5.8510299966        0.1865366388021289 AU
Fe                   : -4.5000024456        	 MgSiO3               : -4.7656788245        	 Mg2SiO4              : -4.9653378239        	 Ni                   : -5.7800106472        	 CaAl2Si2O8           : -5.8510299964        0.18823150172573003 AU
Fe                   : -4.5000020085        	 MgSiO3               : -4.7656737712        	 Mg2SiO4              : -4.9653421001        	 Ni                   : -5.7800086515        	 CaAl2Si2O8           : -5.8510299962        0.18994176429880433 AU
