1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5001995743        	 Mg2SiO4              : -4.72993701          	 SiO                  : -4.9399218133        	 Ni                   : -5.7813784957        	 MgAl2O4              : -5.8510321911        0.1322799576451458 AU
Fe                   : -4.5001725345        	 Mg2SiO4              : -4.7297864443        	 SiO                  : -4.9398216596        	 Ni                   : -5.7811789433        	 MgAl2O4              : -5.8510318039        0.1342186306496997 AU
Fe                   : -4.5001490052        	 Mg2SiO4              : -4.7057157663        	 SiO                  : -5.0446413384        	 Ni                   : -5.7810072665        	 CaAl2Si2O8           : -5.8510314368        0.1361857167073381 AU
Fe                   : -4.5001285529        	 Mg2SiO4              : -4.705625244         	 SiO                  : -5.04451182          	 Ni                   : -5.780859717         	 CaAl2Si2O8           : -5.8510311013        0.13818163204074876 AU
Fe                   : -4.5001107931        	 Mg2SiO4              : -4.7055538685        	 SiO                  : -5.0443856831        	 Ni                   : -5.7807330311        	 CaAl2Si2O8           : -5.8510308425        0.14020679903312236 AU
Fe                   : -4.5000953874        	 Mg2SiO4              : -4.7098103548        	 SiO                  : -5.0732940914        	 Ni                   : -5.7806243688        	 CaAl2Si2O8           : -5.8510306505        0.14226164684490117 AU
Fe                   : -4.500082038         	 Mg2SiO4              : -4.7097656142        	 SiO                  : -5.0731741614        	 Ni                   : -5.7805312615        	 CaAl2Si2O8           : -5.8510305128        0.14434660996305465 AU
Fe                   : -4.5000704827        	 Mg2SiO4              : -4.7097305269        	 SiO                  : -5.0730633524        	 Ni                   : -5.780451565         	 CaAl2Si2O8           : -5.8510304035        0.1464621298243907 AU
Fe                   : -4.5000604908        	 Mg2SiO4              : -4.7097030596        	 SiO                  : -5.0729621093        	 Ni                   : -5.7803834191        	 CaAl2Si2O8           : -5.8510303168        0.14860865441235696 AU
Fe                   : -4.5000518603        	 Mg2SiO4              : -4.7096815963        	 SiO                  : -5.072870464         	 Ni                   : -5.7803252112        	 CaAl2Si2O8           : -5.8510302482        0.15078663835748926 AU
Fe                   : -4.5000444135        	 Mg2SiO4              : -4.709664855         	 SiO                  : -5.0727881596        	 Ni                   : -5.7802755449        	 CaAl2Si2O8           : -5.8510301939        0.15299654217337147 AU
Fe                   : -4.5000379952        	 Mg2SiO4              : -4.7096518204        	 SiO                  : -5.0727147455        	 Ni                   : -5.7802332122        	 CaAl2Si2O8           : -5.8510301511        0.1552388343346634 AU
Fe                   : -4.5000324693        	 Mg2SiO4              : -4.7096416904        	 SiO                  : -5.0726496496        	 Ni                   : -5.7801971693        	 CaAl2Si2O8           : -5.8510301173        0.1575139887935807 AU
Fe                   : -4.5000277169        	 Mg2SiO4              : -4.7096338319        	 SiO                  : -5.0725922316        	 Ni                   : -5.7801665149        	 CaAl2Si2O8           : -5.8510300907        0.15982248769533838 AU
Fe                   : -4.5000236343        	 Mg2SiO4              : -4.7096277468        	 SiO                  : -5.0725418227        	 Ni                   : -5.7801404722        	 CaAl2Si2O8           : -5.8510300699        0.16216481972941094 AU
Fe                   : -4.500020131         	 Mg2SiO4              : -4.7120287464        	 SiO                  : -5.0670003484        	 Ni                   : -5.7801183717        	 CaAl2Si2O8           : -5.8510300536        0.16454148017685077 AU
Fe                   : -4.5000171281        	 Mg2SiO4              : -4.7120314731        	 SiO                  : -5.0669672685        	 Ni                   : -5.7800996375        	 CaAl2Si2O8           : -5.8510300407        0.166952972908357 AU
Fe                   : -4.500014557         	 Mg2SiO4              : -4.7120336975        	 SiO                  : -5.0669229713        	 Ni                   : -5.7800837746        	 CaAl2Si2O8           : -5.8510300307        0.16939980796811505 AU
Fe                   : -4.5000123581        	 Mg2SiO4              : -4.7120355063        	 SiO                  : -5.0668855276        	 Ni                   : -5.7800703581        	 CaAl2Si2O8           : -5.8510300228        0.17188250358787707 AU
Fe                   : -4.5000104797        	 Mg2SiO4              : -4.7120369725        	 SiO                  : -5.0668539118        	 Ni                   : -5.7800590235        	 CaAl2Si2O8           : -5.8510300167        0.1744015849851795 AU
Fe                   : -4.5000088769        	 Mg2SiO4              : -4.7120381574        	 SiO                  : -5.0668272455        	 Ni                   : -5.7800494586        	 CaAl2Si2O8           : -5.8510300119        0.17695758582033755 AU
Fe                   : -4.5000075108        	 Mg2SiO4              : -4.7120391123        	 SiO                  : -5.0668047775        	 Ni                   : -5.7800413964        	 CaAl2Si2O8           : -5.8510300082        0.1795510465848756 AU
Fe                   : -4.5000063476        	 Mg2SiO4              : -4.7565686502        	 SiO                  : -5.1750037824        	 MgSiO3               : -5.4222274585        	 Ni                   : -5.7800346086        0.18218251718118397 AU
