1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5019013045        	 Mg2SiO4              : -4.7411450433        	 SiO                  : -4.9406426937        	 Ni                   : -5.7926516482        	 MgAl2O4              : -5.8510381646        0.1322799576451458 AU
Fe                   : -4.5013018641        	 Mg2SiO4              : -4.7356732928        	 SiO                  : -4.9414408398        	 Ni                   : -5.7884035014        	 MgAl2O4              : -5.851035033         0.13592960648631397 AU
Fe                   : -4.5008858035        	 Mg2SiO4              : -4.7330927041        	 SiO                  : -4.9435401973        	 Ni                   : -5.7855540361        	 MgAl2O4              : -5.8510330795        0.13967995059898686 AU
Fe                   : -4.5005988237        	 Mg2SiO4              : -4.7313473328        	 SiO                  : -4.942651135         	 Ni                   : -5.7836503254        	 MgAl2O4              : -5.8510318696        0.1435337676640014 AU
Fe                   : -4.5004021516        	 Mg2SiO4              : -4.7064151353        	 SiO                  : -5.0471427797        	 Ni                   : -5.7823847274        	 CaAl2Si2O8           : -5.8510309911        0.14749391318197103 AU
Fe                   : -4.5002682599        	 Mg2SiO4              : -4.7102169877        	 SiO                  : -5.0752716836        	 Ni                   : -5.7815480605        	 CaAl2Si2O8           : -5.8510305392        0.15156332009872345 AU
Fe                   : -4.5001777238        	 Mg2SiO4              : -4.7099307063        	 SiO                  : -5.0743954607        	 Ni                   : -5.7809983195        	 CaAl2Si2O8           : -5.851030293         0.15574500369605046 AU
Fe                   : -4.5001169261        	 Mg2SiO4              : -4.709776983         	 SiO                  : -5.0737319145        	 Ni                   : -5.7806394346        	 CaAl2Si2O8           : -5.8510301568        0.16004206115670705 AU
Fe                   : -4.5000763848        	 Mg2SiO4              : -4.709695364         	 SiO                  : -5.0732500459        	 Ni                   : -5.7804067197        	 CaAl2Si2O8           : -5.8510300821        0.164457675867672 AU
Fe                   : -4.5000495435        	 Mg2SiO4              : -4.7096525249        	 SiO                  : -5.0729107351        	 Ni                   : -5.7802568646        	 CaAl2Si2O8           : -5.8510300416        0.1689951190143931 AU
Fe                   : -4.5000319013        	 Mg2SiO4              : -4.7120175238        	 SiO                  : -5.0672393997        	 Ni                   : -5.7801610525        	 CaAl2Si2O8           : -5.8510300199        0.1736577515620044 AU
Fe                   : -4.5000203904        	 Mg2SiO4              : -4.7120286607        	 SiO                  : -5.0670328763        	 Ni                   : -5.7801002381        	 CaAl2Si2O8           : -5.8510300083        0.17844902785436206 AU
Fe                   : -4.500012936         	 Mg2SiO4              : -4.7120350263        	 SiO                  : -5.066902399         	 Ni                   : -5.780061923         	 CaAl2Si2O8           : -5.8510300022        0.183372496983117 AU
Fe                   : -4.5000081447        	 MgSiO3               : -4.7657786103        	 Mg2SiO4              : -4.965252314         	 Ni                   : -5.7800379639        	 CaAl2Si2O8           : -5.8510299993        0.18843180661408557 AU
Fe                   : -4.5000050889        	 MgSiO3               : -4.7657183803        	 Mg2SiO4              : -4.9653040858        	 Ni                   : -5.7800230964        	 CaAl2Si2O8           : -5.8510299976        0.1936307040792269 AU
Fe                   : -4.500003155         	 MgSiO3               : -4.7656880949        	 Mg2SiO4              : -4.9653299505        	 Ni                   : -5.7800139423        	 CaAl2Si2O8           : -5.8510299967        0.19897304070522528 AU
Fe                   : -4.5000019408        	 MgSiO3               : -4.765673062         	 Mg2SiO4              : -4.9653426988        	 Ni                   : -5.7800083501        	 CaAl2Si2O8           : -5.8510299962        0.20446277460154488 AU
Fe                   : -4.5000011844        	 MgSiO3               : -4.7656657017        	 Mg2SiO4              : -4.9653488931        	 Ni                   : -5.7800049611        	 CaAl2Si2O8           : -5.8510299959        0.21010397173230977 AU
Fe                   : -4.500000717         	 MgSiO3               : -4.7656621498        	 Mg2SiO4              : -4.965351858         	 Ni                   : -5.7800029237        	 CaAl2Si2O8           : -5.8510299958        0.21590081174209352 AU
Fe                   : -4.5000004306        	 MgSiO3               : -4.8258701286        	 Mg2SiO4              : -4.9266554192        	 Ni                   : -5.7800017092        	 CaAl2Si2O8           : -5.9181770587        0.22185758809415723 AU
Fe                   : -4.5000002565        	 Mg2SiO4              : -4.8917009774        	 MgSiO3               : -4.8945145559        	 Ni                   : -5.7800009911        	 CaMgSi2O6            : -5.9285194319        0.22797871430201616 AU
Fe                   : -4.5000001515        	 Mg2SiO4              : -4.8692317317        	 MgSiO3               : -4.9488379572        	 Ni                   : -5.7800005699        	 CaMgSi2O6            : -5.8810127333        0.23426872440318194 AU
Fe                   : -4.5000000888        	 Mg2SiO4              : -4.8544982083        	 MgSiO3               : -4.986594733         	 Ni                   : -5.780000325         	 CaMgSi2O6            : -5.8796483477        0.24073227798146407 AU
Fe                   : -4.5000000516        	 Mg2SiO4              : -4.84469224          	 MgSiO3               : -5.0172247387        	 Ni                   : -5.7800001837        	 NaAlSi3O8            : -5.8577806396        0.24737416347888463 AU
Fe                   : -4.5000000298        	 Mg2SiO4              : -4.8379988808        	 MgSiO3               : -5.0398831973        	 Ni                   : -5.780000103         	 NaAlSi3O8            : -5.8314180029        0.25419930014963726 AU
