1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.9091434881        	 Ca2Al2SiO7           : -5.980244438         	 MgAl2O4              : -6.4410202197        	 CaTiO3               : -7.0506544386        	 ZrO2                 : -9.4200016427        0.19076475972781792 AU
Fe                   : -4.7557005043        	 Ca2Al2SiO7           : -5.9797403615        	 MgAl2O4              : -6.442213726         	 CaTiO3               : -7.0503454864        	 VO                   : -9.1115258231        0.19961729703027264 AU
Fe                   : -4.6690316597        	 MgAl2O4              : -5.8510625459        	 Ca2MgSi2O7           : -5.9793261761        	 Mg2SiO4              : -6.1962208645        	 CaTiO3               : -7.0502852382        0.20888064146054447 AU
Fe                   : -4.6146658124        	 Mg2SiO4              : -5.1679852008        	 MgAl2O4              : -5.8510516974        	 Ca2MgSi2O7           : -5.9792249033        	 CaTiO3               : -7.0501742923        0.21857385539630397 AU
Fe                   : -4.5787803674        	 Mg2SiO4              : -4.9282930451        	 CaAl2Si2O8           : -5.851043227         	 Ca2MgSi2O7           : -6.434714339         	 Ni                   : -7.1698603256        0.22871688879703356 AU
Fe                   : -4.5544331114        	 Mg2SiO4              : -4.8332508305        	 CaAl2Si2O8           : -5.8510374754        	 CaMgSi2O6            : -6.1087944936        	 Ni                   : -6.2527734307        0.23933061397741068 AU
Fe                   : -4.5376651556        	 Mg2SiO4              : -4.7748053001        	 CaAl2Si2O8           : -5.8510342346        	 Ni                   : -6.0440032133        	 CaMgSi2O6            : -6.1087330687        0.2504368755356369 AU
Fe                   : -4.5260296613        	 Mg2SiO4              : -4.7467454921        	 SiO                  : -5.6365832428        	 CaAl2Si2O8           : -5.851032437         	 Ni                   : -5.9415394835        0.26205852836016863 AU
Fe                   : -4.5179328645        	 Mg2SiO4              : -4.7304893176        	 SiO                  : -5.3979722748        	 CaAl2Si2O8           : -5.8510313776        	 Ni                   : -5.8825450035        0.27421948993763634 AU
Fe                   : -4.512300497         	 Mg2SiO4              : -4.7211917764        	 SiO                  : -5.2776003273        	 Ni                   : -5.8461960852        	 CaAl2Si2O8           : -5.8510307667        0.28694478759410286 AU
Fe                   : -4.5083923576        	 Mg2SiO4              : -4.7159507518        	 SiO                  : -5.2059874263        	 Ni                   : -5.8230348583        	 CaAl2Si2O8           : -5.8510304206        0.3002606087207213 AU
Fe                   : -4.5056916332        	 Mg2SiO4              : -4.7130378366        	 SiO                  : -5.1604737106        	 Ni                   : -5.8080235514        	 CaAl2Si2O8           : -5.8510302273        0.3141943578005449 AU
Fe                   : -4.5038349425        	 Mg2SiO4              : -4.7114403741        	 SiO                  : -5.1306859037        	 Ni                   : -5.7982183136        	 CaAl2Si2O8           : -5.8510301206        0.3287747094182173 AU
Fe                   : -4.5025661344        	 MgSiO3               : -4.8089813962        	 Mg2SiO4              : -4.931627852         	 Ni                   : -5.7917992938        	 CaAl2Si2O8           : -5.851030068         0.34403167076811525 AU
Fe                   : -4.5017047679        	 MgSiO3               : -4.7889864882        	 Mg2SiO4              : -4.946410548         	 Ni                   : -5.7876025495        	 CaAl2Si2O8           : -5.8510300361        0.3599966385953173 AU
Fe                   : -4.5011241112        	 MgSiO3               : -4.7780454662        	 Mg2SiO4              : -4.9551317282        	 Ni                   : -5.7848685148        	 CaAl2Si2O8           : -5.851030018         0.3767024684415043 AU
Fe                   : -4.5007355681        	 MgSiO3               : -4.7721869886        	 Mg2SiO4              : -4.9599374359        	 Ni                   : -5.7830965365        	 CaAl2Si2O8           : -5.8510300079        0.3941835422165666 AU
Fe                   : -4.5004775628        	 MgSiO3               : -4.7690679164        	 Mg2SiO4              : -4.9625275309        	 Ni                   : -5.7819551906        	 CaAl2Si2O8           : -5.8510300023        0.41247583302130053 AU
Fe                   : -4.5003075853        	 MgSiO3               : -4.7674211078        	 Mg2SiO4              : -4.9638992533        	 Ni                   : -5.7812251252        	 CaAl2Si2O8           : -5.8510299992        0.4316169881634881 AU
Fe                   : -4.5001965024        	 MgSiO3               : -4.7665600856        	 Mg2SiO4              : -4.9646149589        	 Ni                   : -5.7807616087        	 CaAl2Si2O8           : -5.8510299976        0.45164639703829956 AU
Fe                   : -4.5001245034        	 MgSiO3               : -4.7661146605        	 Mg2SiO4              : -4.9649833485        	 Ni                   : -5.7804696227        	 CaAl2Si2O8           : -5.8510299967        0.47260528228350596 AU
Fe                   : -4.5000782262        	 MgSiO3               : -4.7658867866        	 Mg2SiO4              : -4.9651705286        	 Ni                   : -5.7802871794        	 CaAl2Si2O8           : -5.8510299962        0.4945367752630208 AU
Fe                   : -4.5000487336        	 MgSiO3               : -4.7657715497        	 Mg2SiO4              : -4.9652644287        	 Ni                   : -5.780174131         	 CaAl2Si2O8           : -5.8510299959        0.5174860104066914 AU
Fe                   : -4.5000300996        	 MgSiO3               : -4.7634629679        	 Mg2SiO4              : -4.9653109437        	 Ni                   : -5.7801046776        	 CaAl2Si2O8           : -5.8510299958        0.5415002177244835 AU
Fe                   : -4.5000184288        	 MgSiO3               : -4.7634346099        	 Mg2SiO4              : -4.9653337401        	 Ni                   : -5.7800623746        	 CaAl2Si2O8           : -5.8510299957        0.5666288141839583 AU
Fe                   : -4.5000111837        	 MgSiO3               : -4.7634208203        	 Mg2SiO4              : -4.9653447088        	 Ni                   : -5.7800368394        	 CaAl2Si2O8           : -5.8510299957        0.5929235177975012 AU
Fe                   : -4.5000067264        	 MgSiO3               : -4.763414191         	 Mg2SiO4              : -4.965349922         	 Ni                   : -5.7800215632        	 CaAl2Si2O8           : -5.8510299957        0.6204384417615483 AU
Fe                   : -4.500004009         	 MgSiO3               : -4.7634110421        	 Mg2SiO4              : -4.9653523677        	 Ni                   : -5.780012507         	 CaAl2Si2O8           : -5.8510299957        0.6492302094640914 AU
Fe                   : -4.5000023675        	 MgSiO3               : -4.7634095644        	 Mg2SiO4              : -4.9653535           	 Ni                   : -5.7800071875        	 CaAl2Si2O8           : -5.8510299957        0.679358071858021 AU
Fe                   : -4.5000013851        	 MgSiO3               : -4.7634088793        	 Mg2SiO4              : -4.9653540173        	 Ni                   : -5.780004092         	 CaAl2Si2O8           : -5.8510299957        0.7108840353043228 AU
Fe                   : -4.5000008028        	 MgSiO3               : -4.7634085659        	 Mg2SiO4              : -4.9653542502        	 Ni                   : -5.7800023077        	 CaAl2Si2O8           : -5.8510299957        0.7438729773507626 AU
Fe                   : -4.5000004608        	 MgSiO3               : -4.7634084245        	 Mg2SiO4              : -4.9653543535        	 Ni                   : -5.7800012889        	 CaAl2Si2O8           : -5.8510299957        0.778392787552691 AU
Fe                   : -4.500000262         	 MgSiO3               : -4.7634083616        	 Mg2SiO4              : -4.9653543985        	 Ni                   : -5.780000713         	 CaAl2Si2O8           : -5.8510299957        0.8145145091296642 AU
Fe                   : -4.5000001475        	 MgSiO3               : -4.763408334         	 Mg2SiO4              : -4.9653544178        	 Ni                   : -5.7800003905        	 CaAl2Si2O8           : -5.8510299957        0.8523124758830936 AU
Fe                   : -4.5000000822        	 MgSiO3               : -4.7634083221        	 Mg2SiO4              : -4.965354426         	 Ni                   : -5.7800002118        	 CaAl2Si2O8           : -5.8510299957        0.8918644775393579 AU
Fe                   : -4.5000000454        	 MgSiO3               : -4.8114052173        	 Mg2SiO4              : -4.9336577023        	 Ni                   : -5.7800001137        	 CaAl2Si2O8           : -5.9047647307        0.9332519103526639 AU
Fe                   : -4.5000000248        	 MgSiO3               : -4.8864889672        	 Mg2SiO4              : -4.8939941223        	 Ni                   : -5.7800000604        	 CaMgSi2O6            : -5.9680780051        0.9765599490498069 AU
Fe                   : -4.5000000134        	 Mg2SiO4              : -4.8699229914        	 MgSiO3               : -4.9436039061        	 Ni                   : -5.7800000318        	 CaMgSi2O6            : -5.9130127047        1.021877720862624 AU
Fe                   : -4.5000000072        	 Mg2SiO4              : -4.8549646161        	 MgSiO3               : -4.9852068542        	 Ni                   : -5.7800000165        	 CaMgSi2O6            : -5.8806372045        1.0692984832062975 AU
Fe                   : -4.5000000038        	 Mg2SiO4              : -4.8455229623        	 MgSiO3               : -5.0145167936        	 Ni                   : -5.7800000085        	 CaMgSi2O6            : -5.8608426751        1.11891983317113 AU
Fe                   : -4.500000002         	 Mg2SiO4              : -4.8394239484        	 MgSiO3               : -5.0349292594        	 Ni                   : -5.7800000043        	 NaAlSi3O8            : -5.8371275146        1.1708438878270673 AU
Fe                   : -4.500000001         	 Mg2SiO4              : -4.8353211823        	 MgSiO3               : -5.0493926249        	 Ni                   : -5.7800000022        	 NaAlSi3O8            : -5.8228545526        1.2251775037690276 AU
Fe                   : -4.5000000005        	 Mg2SiO4              : -4.8324868606        	 MgSiO3               : -5.0597567571        	 Ni                   : -5.7800000011        	 NaAlSi3O8            : -5.8135603862        1.2820325002880133 AU
Fe                   : -4.5000000003        	 Mg2SiO4              : -4.8303936293        	 MgSiO3               : -5.0676178231        	 Ni                   : -5.7800000005        	 NaAlSi3O8            : -5.8071473414        1.3415258832158818 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8287141494        	 MgSiO3               : -5.0740577015        	 Ni                   : -5.7800000003        	 NaAlSi3O8            : -5.8023671173        1.4037800883260085 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8297243493        	 MgSiO3               : -5.0667296464        	 Ni                   : -5.7800000001        	 NaAlSi3O8            : -5.7984748087        1.4689232310108586 AU
Fe                   : -4.5000000001        	 Mg2SiO4              : -4.8301558202        	 MgSiO3               : -5.0626142886        	 Ni                   : -5.7800000001        	 NaAlSi3O8            : -5.7950273876        1.5370893732259716 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8295039686        	 MgSiO3               : -5.0641168985        	 Ni                   : -5.78                	 NaAlSi3O8            : -5.7917801154        1.6084188040159844 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8283995596        	 MgSiO3               : -5.0679865013        	 Ni                   : -5.78                	 NaAlSi3O8            : -5.7886156954        1.6830583057427007 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.827141616         	 MgSiO3               : -5.0727214773        	 Ni                   : -5.78                	 NaAlSi3O8            : -5.7854981941        1.7611615014717996 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.825854635         	 MgSiO3               : -5.077710125         	 Ni                   : -5.78                	 NaAlSi3O8            : -5.7824422212        1.8428891125639089 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8245968262        	 MgSiO3               : -5.0826782009        	 NaAlSi3O8            : -5.7794900333        	 Ni                   : -5.78                1.9284093366826656 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8234035823        	 MgSiO3               : -5.0874642252        	 NaAlSi3O8            : -5.7766940137        	 Ni                   : -5.78                2.017898169146592 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8239392208        	 MgSiO3               : -5.082915123         	 NaAlSi3O8            : -5.774105714         	 Ni                   : -5.78                2.111539778597883 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8271515084        	 MgSiO3               : -5.0644314361        	 NaAlSi3O8            : -5.7717637667        	 Ni                   : -5.78                2.2095268741549385 AU
Fe                   : -4.5                 	 Mg2SiO4              : -4.8272709473        	 MgSiO3               : -5.0625829358        	 NaAlSi3O8            : -5.769684813         	 Ni                   : -5.78                2.3120611181169934 AU
