1                                               2                                               3                                               4                                               5                                               Radius 
Fe                   : -4.5592234197        	 Mg2SiO4              : -5.109955464         	 SiO                  : -5.3412239107        	 MgAl2O4              : -5.851072201         	 Ca2MgSi2O7           : -5.9612138119        0.19076475972781792 AU
Fe                   : -4.5511024932        	 Mg2SiO4              : -5.0249521405        	 SiO                  : -5.2854238124        	 MgAl2O4              : -5.8510654035        	 Ca2MgSi2O7           : -5.9611779581        0.1935605762406765 AU
Fe                   : -4.5441045413        	 Mg2SiO4              : -4.9621771938        	 SiO                  : -5.2414029087        	 MgAl2O4              : -5.8510596402        	 Ca2MgSi2O7           : -5.9611482343        0.19639736804065555 AU
Fe                   : -4.5380661134        	 Mg2SiO4              : -4.9141819818        	 SiO                  : -5.205278509         	 MgAl2O4              : -5.8510547636        	 Ca2MgSi2O7           : -5.9611237976        0.19927573537455323 AU
Fe                   : -4.5328504239        	 Mg2SiO4              : -4.8767047607        	 SiO                  : -5.1747066896        	 MgAl2O4              : -5.8510506464        	 Ca2MgSi2O7           : -5.9611038803        0.20219628737340725 AU
Fe                   : -4.5283421958        	 Mg2SiO4              : -4.8470577672        	 SiO                  : -5.1482162469        	 MgAl2O4              : -5.8510471782        	 Ca2MgSi2O7           : -5.9610877884        0.20515964294192637 AU
Fe                   : -4.5244436981        	 Mg2SiO4              : -4.8234207623        	 SiO                  : -5.1248642336        	 MgAl2O4              : -5.8510442637        	 Ni                   : -5.9546343655        0.2081664286663585 AU
Fe                   : -4.5210716531        	 Mg2SiO4              : -4.7804618418        	 SiO                  : -5.2456790914        	 CaAl2Si2O8           : -5.8916689459        	 Ni                   : -5.9247926881        0.2112172811555149 AU
Fe                   : -4.5181548138        	 Mg2SiO4              : -4.7635536674        	 SiO                  : -5.2365720543        	 CaAl2Si2O8           : -5.8510393983        	 Ni                   : -5.9006249369        0.21431284645930576 AU
Fe                   : -4.5156319859        	 Mg2SiO4              : -4.7517834036        	 SiO                  : -5.213579916         	 CaAl2Si2O8           : -5.8510373708        	 Ni                   : -5.8808460292        0.2174537802135997 AU
Fe                   : -4.5134504686        	 Mg2SiO4              : -4.7423199368        	 SiO                  : -5.1930618891        	 CaAl2Si2O8           : -5.8510357583        	 Ni                   : -5.864530036         0.22064074653837937 AU
Fe                   : -4.5115647628        	 Mg2SiO4              : -4.739546038         	 SiO                  : -5.2139837263        	 Ni                   : -5.8509886487        	 CaAl2Si2O8           : -5.8510345928        0.22387442103452568 AU
Fe                   : -4.5099355117        	 Mg2SiO4              : -4.7333534795        	 SiO                  : -5.1962247339        	 Ni                   : -5.8396974308        	 CaAl2Si2O8           : -5.8510336683        0.22715548720226164 AU
Fe                   : -4.5085286157        	 Mg2SiO4              : -4.7284029326        	 SiO                  : -5.1804546563        	 Ni                   : -5.8302485138        	 CaAl2Si2O8           : -5.851032923         0.23048464035717192 AU
Fe                   : -4.5073144971        	 Mg2SiO4              : -4.724454089         	 SiO                  : -5.1664816987        	 Ni                   : -5.8223195089        	 CaAl2Si2O8           : -5.8510323238        0.23386258525250744 AU
Fe                   : -4.5062674763        	 Mg2SiO4              : -4.721311335         	 SiO                  : -5.1541326056        	 Ni                   : -5.8156520818        	 CaAl2Si2O8           : -5.8510318436        0.2372900361474247 AU
Fe                   : -4.5053652452        	 Mg2SiO4              : -4.718815685         	 SiO                  : -5.1432480485        	 Ni                   : -5.8100368877        	 CaAl2Si2O8           : -5.8510314597        0.24076771968845842 AU
Fe                   : -4.5045884168        	 Mg2SiO4              : -4.716838218         	 SiO                  : -5.1336804351        	 Ni                   : -5.8053026988        	 CaAl2Si2O8           : -5.8510311534        0.244296371425107 AU
Fe                   : -4.5039201397        	 Mg2SiO4              : -4.7152746707        	 SiO                  : -5.1252929524        	 Ni                   : -5.801308385         	 CaAl2Si2O8           : -5.8510309096        0.24787673871439597 AU
Fe                   : -4.5033457672        	 Mg2SiO4              : -4.7140409591        	 SiO                  : -5.1179591623        	 Ni                   : -5.7979368858        	 CaAl2Si2O8           : -5.851030716         0.2515095789877527 AU
Fe                   : -4.5028525705        	 Mg2SiO4              : -4.7130694643        	 SiO                  : -5.1115627764        	 Ni                   : -5.7950906003        	 CaAl2Si2O8           : -5.8510305625        0.25519566185218073 AU
Fe                   : -4.5024294915        	 Mg2SiO4              : -4.7123059582        	 SiO                  : -5.1059974289        	 Ni                   : -5.7926878079        	 CaAl2Si2O8           : -5.851030441         0.25893576676616786 AU
Fe                   : -4.5020669277        	 Mg2SiO4              : -4.7117070672        	 SiO                  : -5.1011663732        	 Ni                   : -5.7906598507        	 CaAl2Si2O8           : -5.8510303451        0.2627306867598847 AU
Fe                   : -4.5017565448        	 Mg2SiO4              : -4.7112381879        	 SiO                  : -5.0969820826        	 Ni                   : -5.7889488892        	 CaAl2Si2O8           : -5.8510302693        0.2665812239600657 AU
Fe                   : -4.5014911143        	 Mg2SiO4              : -4.710871786         	 SiO                  : -5.0933862423        	 Ni                   : -5.7875060936        	 CaAl2Si2O8           : -5.8510302097        0.27048819445468475 AU
Fe                   : -4.5012643712        	 Mg2SiO4              : -4.7109835807        	 SiO                  : -5.0893186302        	 Ni                   : -5.7862901739        	 CaAl2Si2O8           : -5.851030163         0.27445242419324684 AU
Fe                   : -4.5010708898        	 Mg2SiO4              : -4.7111860373        	 SiO                  : -5.0856334891        	 Ni                   : -5.7852661745        	 CaAl2Si2O8           : -5.8510301263        0.27847475352918105 AU
Fe                   : -4.5009059755        	 Mg2SiO4              : -4.7113515907        	 SiO                  : -5.0825411591        	 Ni                   : -5.7844044779        	 CaAl2Si2O8           : -5.8510300974        0.2825560335357783 AU
Fe                   : -4.50076557          	 Mg2SiO4              : -4.7114865546        	 SiO                  : -5.0799463643        	 Ni                   : -5.7836799768        	 CaAl2Si2O8           : -5.8510300748        0.2866971278081989 AU
Fe                   : -4.5006461682        	 Mg2SiO4              : -4.7115962603        	 SiO                  : -5.0777694661        	 Ni                   : -5.7830713825        	 CaAl2Si2O8           : -5.8510300572        0.2908989132572233 AU
Fe                   : -4.5005447463        	 Mg2SiO4              : -4.7116851855        	 SiO                  : -5.0759437438        	 Ni                   : -5.7825606443        	 CaAl2Si2O8           : -5.8510300434        0.2951622797376832 AU
Fe                   : -4.5004586982        	 Mg2SiO4              : -4.711757072         	 SiO                  : -5.0744132009        	 Ni                   : -5.7821324594        	 CaAl2Si2O8           : -5.8510300326        0.2994881289747805 AU
Fe                   : -4.50038578          	 Mg2SiO4              : -4.8458256631        	 MgSiO3               : -4.986671364         	 SiO                  : -5.4824351111        	 Ni                   : -5.7817738591        0.30387737721663854 AU
Fe                   : -4.5003240625        	 MgSiO3               : -4.7708977404        	 Mg2SiO4              : -4.9609139568        	 Ni                   : -5.7814738606        	 CaAl2Si2O8           : -5.8510300198        0.30833095358069296 AU
Fe                   : -4.5002718885        	 MgSiO3               : -4.7697026276        	 Mg2SiO4              : -4.9619266966        	 Ni                   : -5.7812231651        	 CaAl2Si2O8           : -5.8510300147        0.3128498008611032 AU
Fe                   : -4.5002278358        	 MgSiO3               : -4.7687754732        	 Mg2SiO4              : -4.9627140606        	 Ni                   : -5.7810139075        	 CaAl2Si2O8           : -5.8510300106        0.3174348757304247 AU
